GVKEY,Company,trimmed_company_name,Company_Handles,name,bio,join_date,tweets,following,followers,likes,media,private,verified
7343,MICRON TECHNOLOGY INC,micron technology,MicronTech,Micron Technology,We're accelerating the transformation of information to intelligence.,15-01-2009,4386.0,1524.0,20946.0,3210.0,1690.0,False,True
7366,ENTERGY CORP,entergy,entergy,Entergy,"This page is monitored during business hours. For customer service, please call 1-800-368-3749. To report power outages & emergencies, 1-800-968-8243.",22-04-2009,9926.0,324.0,17337.0,2743.0,1877.0,False,True
7435,3M CO,3m,3M,3M,"Here, we innovate with purpose & use #science every day to create real impact in every life around the world. #LifeWith3M",22-09-2011,11564.0,4947.0,1406564.0,19586.0,2401.0,False,True
7585,MOTOROLA SOLUTIONS INC,motorola solutions,motosolutions,Motorola Solutions,"#MotorolaSolutions, a global leader in mission-critical communications and analytics, makes cities safer and help communities and businesses thrive.",27-09-2010,15225.0,3206.0,26176.0,10950.0,4926.0,False,True
7647,BANK OF AMERICA CORP,bank of america,bankofamerica,Bank of America,"The power to connect with people and exchange ideas. For account issues, please use @BofA_Help",19-10-2010,10095.0,679.0,558019.0,6056.0,1996.0,False,True
7648,NCR CORP,ncr,NCRCorporation,NCR Corporation,"Shaping how people bank, shop, eat & travel since 1884. 🧾🛒📱🍽 iNCRedibles, show us your #NCRLife. 💚",23-03-2009,15961.0,6971.0,21166.0,10883.0,3670.0,False,True
7866,NEW YORK TIMES CO  -CL A,new york times  -cl a,NYTimes,The New York Times,News tips? Share them here: https://t.co/ghL9OoYKMM,02-03-2007,418831.0,903.0,48776325.0,18370.0,51423.0,False,True
7922,NORDSTROM INC,nordstrom,nordstrom,Nordstrom,Serving customers since 1901. Tweeting since 2008. Customer service: 1-888-282-6060 #nordstrom,18-06-2008,284430.0,53000.0,718646.0,4047.0,4249.0,False,True
7970,EVERSOURCE ENERGY,eversource energy,EversourceCT,Eversource CT,Eversource is New England's largest energy delivery company.,23-04-2009,15640.0,412.0,62430.0,744.0,1918.0,False,True
7982,NORTHERN TRUST CORP,northern trust,NorthernTrust,Northern Trust,"Global leader in wealth management, asset servicing and asset management delivering expert advice, educational thought leadership and news.",31-05-2011,3834.0,677.0,17126.0,277.0,601.0,False,True
7985,NORTHROP GRUMMAN CORP,northrop grumman,northropgrumman,Northrop Grumman,"Northrop Grumman solves the toughest problems in space, aeronautics, defense and cyberspace to meet the ever-evolving needs of our customers worldwide.",13-08-2008,12989.0,664.0,227042.0,3522.0,3186.0,False,True
8007,WELLS FARGO & CO,wells fargo &,WellsFargo,Wells Fargo,"Follow along for all the latest company news and updates. For customer service queries, please follow @Ask_WellsFargo.",14-03-2007,20926.0,307.0,322812.0,81604.0,2548.0,False,True
8245,PNC FINANCIAL SVCS GROUP INC,pnc financial svcs group,PNCBank,PNC Bank,"Official handle of PNC Bank, providing insights and info to help make the steps for achieving your financial goals easier. For customer service: @PNCBank_Help.",14-05-2009,9444.0,4442.0,33756.0,1845.0,541.0,False,True
8264,PG&E CORP,pg&e,pge4me,PG&E,"The official account of Pacific Gas and Electric Company. For emergency assistance call 911, for non-emergencies: 1-800-743-5000.",15-04-2009,15859.0,1567.0,133074.0,1552.0,3740.0,False,True
8402,PAYCHEX INC,paychex,Paychex,Paychex,Supporting business owners and HR professionals to help make the complex simple. For 24/7 service: @PaychexService,13-05-2009,16492.0,612.0,11720.0,3532.0,4830.0,False,True
8446,PENNEY (J C) CO,penney (j c),JCPenney,JCPenney,"Your stylish & fun friend who doesn’t talk too much! 😎
Customer service: DM or call 1.800.322.1189 📱
Responses may be delayed due to pandemic 😷",17-11-2008,62348.0,62.0,439852.0,55324.0,5598.0,False,True
8455,PPL CORP,ppl,PPLElectric,PPL Electric,News & tips from utility serving central/eastern PA. We’re on Twitter 8 am-7 pm Mon-Fri. Call 1-800-342-5775 or visit us online to report outages & emergencies.,30-12-2009,12401.0,1702.0,13086.0,4735.0,2351.0,False,True
8479,PEPSICO INC,pepsico,Pepsi,Pepsi,"If you’re looking for hot takes and cold Pepsi, you’ve come to the right place.",15-12-2008,54756.0,38899.0,2999906.0,6069.0,3614.0,False,True
8530,PFIZER INC,pfizer,pfizer,Pfizer Inc.,Breakthroughs that change patients' lives. Visit https://t.co/YjZgM19rTC to learn more. https://t.co/K5kUC0gbrs,13-07-2009,9846.0,2374.0,366388.0,526.0,4765.0,False,True
8539,EXELON CORP,exelon,Exelon,Exelon Corporation,"We believe that reliable, clean and affordable energy is essential to a brighter, more sustainable future. That's performance that drives progress.",03-08-2009,5832.0,1379.0,20064.0,4553.0,1716.0,False,True
8549,CONOCOPHILLIPS,conocophillips,conocophillips,ConocoPhillips,We exist to power civilization - Tweets from the ConocoPhillips communications team,09-03-2009,4984.0,212.0,165426.0,2293.0,1426.0,False,True
8551,PVH CORP,pvh,PVHCorp,PVHCorp,"The Power of Us. The Power of PVH: CALVIN KLEIN, TOMMY HILFIGER, Van Heusen, IZOD, ARROW, Warner’s, Olga, Geoffrey Beene, True&Co",14-05-2018,750.0,44.0,2481.0,762.0,277.0,False,True
8606,PITNEY BOWES INC,pitney bowes,pitneybowes,Pitney Bowes,"Crafting commerce solutions in the areas of e-commerce, financing, shipping, and mailing. Visit @PBCares for customer service.",20-04-2009,35708.0,6565.0,28388.0,8215.0,15716.0,False,True
8694,PEPCO HOLDINGS INC,pepco holdings,PepcoConnect,Pepco,"For 24/7 restoration updates or to report an outage, https://t.co/255HqIIZjk, call 1-877-737-2662, or use our mobile app. Account not monitored 24 hours a day.",09-02-2009,19963.0,1579.0,20807.0,3165.0,2080.0,False,True
8762,PROCTER & GAMBLE CO,procter & gamble,proctergamble,Procter & Gamble,"All day, every day, P&G people are #SteppingUp and serving others as a #ForceForGood. Improving everyday life since 1837. #LeadWithLove",27-03-2009,12738.0,1099.0,216504.0,12920.0,2761.0,False,True
9203,ROCKWELL AUTOMATION,rockwell automation,ROKAutomation,Rockwell Automation,Rockwell Automation Inc. (NYSE: ROK) We are #ExpandingHumanPossibility by connecting the imaginations of people with the potential of technology,04-06-2009,10216.0,2372.0,39248.0,11412.0,4216.0,False,True
9225,ROLLINS INC,rollins,wwerollins,Seth Rollins,Visionary. Leader. Monday Night Messiah.,13-03-2010,11093.0,206.0,3841259.0,1.0,1002.0,False,True
9359,SAFEWAY INC,safeway,Safeway,Safeway,"We're a part of your neighborhood, providing fresh ingredients and more ways to save. https://t.co/by9SDvE9Na",06-04-2009,71556.0,3269.0,77150.0,8620.0,1244.0,False,True
9372,ST JUDE MEDICAL INC,st jude medical,StJude,St. Jude,"@StJude Children's Research Hospital ® is leading the way the world understands, treats and defeats childhood cancer.",23-10-2007,10814.0,781.0,429236.0,40849.0,2779.0,False,True
9667,SHERWIN-WILLIAMS CO,sherwin-williams,SherwinWilliams,Sherwin-Williams,"Your neighborhood store for paints, stains, supplies and color. 🎨 Share your project pics using #SWColorLove. 🛒 Order online: https://t.co/up76zy2Uzv",04-02-2010,10713.0,562.0,145172.0,11675.0,2031.0,False,True
9699,SIGMA-ALDRICH CORP,sigma-aldrich,sigmaaldrich,Sigma-Aldrich,"🔬🧪🧬A leading provider of lab & production materials, with the expertise to support you as you make your next scientific breakthrough|For US/CA visitors only",28-02-2008,3356.0,1672.0,18955.0,322.0,760.0,False,True
9772,SMITH INTERNATIONAL INC,smith international,MCO,Orlando International Airport,Welcome to the real McCoy - the official Twitter account of Orlando International Airport. 📞 407-825-2001,01-09-2011,45260.0,1068.0,73633.0,46805.0,7864.0,False,True
9777,SMUCKER (JM) CO,smucker (jm),smuckers,Smucker's,Smucker’s® is committed to offering quality products that bring families together to share memorable meals & moments. Check out @FatherNature for great content!,10-06-2011,5754.0,376.0,24582.0,29677.0,584.0,False,True
9783,KEYCORP,keycorp,KeyBank,KeyBank,Helping our communities and clients get ready for tomorrow. Contact customer service @KeyBank_Help. Images shared may be used for marketing. Member FDIC,10-02-2012,5800.0,2708.0,23606.0,8862.0,1377.0,False,True
9882,SOUTHWEST AIRLINES,southwest airlines,SOUTHWESTAIR,Southwest Airlines,"We run on #SouthwestHeart! Follow to see more from the best Employees and Customers in the world. For a formal response, please use the link provided.",02-07-2007,981259.0,1.0,2138118.0,8147.0,45489.0,False,True
9899,AT&T INC,at&t inc,att,AT&T,Our mission is keeping you connected to the things you love. Our passion is making a difference. We stay connected together.,01-05-2008,162365.0,9098.0,906687.0,51184.0,27137.0,False,True
10016,STANLEY BLACK & DECKER INC,stanley black & decker,StanleyBlkDeckr,Stanley Black & Decker,Stanley Black & Decker provides the tools and innovative solutions you can trust to get the job done — and we have since 1843. #ForThoseWhoMakeTheWorld,26-02-2010,1888.0,353.0,8023.0,1087.0,1033.0,False,True
10035,STATE STREET CORP,state street,StateStreet,State Street,A leading financial services provider serving some of the world’s most sophisticated institutions. https://t.co/XPi7dZ2KAX,08-07-2011,9033.0,1436.0,51356.0,4310.0,1337.0,False,True
10096,PUBLIC STORAGE,public storage,publicstorage,Public Storage,"Public Storage has thousands of self-storage locations nationwide, for when you move or just need a little more space. Call 866-687-5396 to reserve or get help.",19-03-2009,18866.0,499.0,3890.0,1103.0,1535.0,False,True
10121,NAVIENT CORP,navient,NavienT,Navient,#TeamNavient helps customers navigate the path to financial success! Email socialmedia@navient.com for customer service. Social media hours: M-F 8 a.m.-5p.m. ET,13-05-2014,11142.0,335.0,4075.0,1360.0,1035.0,False,True
10187,SUNTRUST BANKS INC,suntrust banks,SunTrust,SunTrust,SunTrust and BB&T have joined to become Truist. We're building a better future together. https://t.co/wmvY0dyYmx #truist,24-08-2009,3731.0,157.0,24006.0,1601.0,701.0,False,True
10466,ANDEAVOR,andeavor,andeavor,Andeavor,"Andeavor has combined with @MarathonPetroCo, creating the leading U.S. refining, midstream and marketing company.",03-07-2013,1111.0,597.0,3583.0,1183.0,482.0,False,True
10499,TEXAS INSTRUMENTS INC,texas instruments,txinstruments,Texas Instruments,"We are a global semiconductor company that designs, manufactures, tests and sells analog and embedded processing chips. Tweets by TIers.",18-02-2008,23068.0,1504.0,88352.0,3721.0,5851.0,False,True
10519,TEXTRON INC,textron,Textron,Textron Inc.,"Textron is known for its powerful brands such as Bell, Cessna, Beechcraft, Hawker, Jacobsen, Kautex, Lycoming, E-Z-GO & Textron Systems.",07-06-2013,5046.0,113.0,10251.0,1572.0,440.0,False,True
10530,THERMO FISHER SCIENTIFIC INC,thermo fisher scientific,ThermoFisher,Thermo Fisher,"Thermo Fisher Scientific Inc. is the world leader in serving science. Our mission is to enable our customers to make the world healthier, cleaner and safer.",04-08-2009,11729.0,715.0,55190.0,1123.0,5223.0,False,True
10631,TOTAL SYSTEM SERVICES INC,total system services,total,Total,"Total is a broad #energy company that produces and markets fuels, natural gas and electricity. Our ambition: to become the responsible energy major.",05-10-2009,11354.0,254.0,832003.0,2776.0,975.0,False,True
10726,TRIBUNE MEDIA CO,tribune media,tribunemedia,Tribune Media,Official source for Tribune Media Company tweets.,02-06-2009,4.0,227.0,2310.0,0.0,1.0,False,True
10793,TYSON FOODS INC  -CL A,tyson foods  -cl a,tysonfoods,Tyson Foods,"Tyson Foods, Inc. founded in 1935.",13-08-2008,12023.0,17031.0,58398.0,9639.0,1263.0,False,True
10795,UNITED AIRLINES HOLDINGS INC,united airlines holdings,United,United Airlines,"We're here 24/7 to tell you what you need to know to get you where you want to go. For the latest on health & safety, visit https://t.co/r0KuzPNFBD or text FLYUA.",04-03-2011,1236297.0,43070.0,1084872.0,5261.0,2999.0,False,True
10860,AMEREN CORP,ameren,AmerenMissouri,Ameren Missouri,"Delivering safe, reliable energy to MO customers. For gas leaks or downed lines, call us 24/7 at 800.552.7583. Report outages at http://t.co/nt2p5F21nS.",22-10-2009,11269.0,148.0,25224.0,1422.0,1447.0,False,True
10867,UNION PACIFIC CORP,union pacific,UnionPacific,Union Pacific,"Union Pacific operates North America's premier railroad franchise, covering 23 states in the western two-thirds of the United States.",25-11-2008,3294.0,14.0,50386.0,464.0,890.0,False,True
10903,UNITEDHEALTH GROUP INC,unitedhealth group,UnitedHealthGrp,UnitedHealth Group,Helping people live healthier lives and helping make the health system work better for everyone. Media inquiries: https://t.co/LUd3techX6,31-10-2012,2409.0,532.0,35407.0,738.0,569.0,False,True
10983,RAYTHEON TECHNOLOGIES CORP,raytheon technologies,RaytheonTech,Raytheon Technologies,"195,000 employees, four businesses, 190 years of innovation, one mission: The future of aerospace and defense.",27-08-2008,20720.0,272.0,185991.0,4629.0,9084.0,False,True
10984,SPRINT CORP,sprint,Sprint,Sprint,Joining the @TMobile 5G revolution. Great network. Great value. No compromises. Building America’s most reliable 5G network.,02-05-2008,43541.0,2153.0,423922.0,9965.0,2588.0,False,True
11060,VF CORP,vf,vanityfair,VANITY FAIR,Vanitas vanitatum.,30-06-2008,130740.0,1205.0,4858269.0,5086.0,27473.0,False,True
11228,VULCAN MATERIALS CO,vulcan materials,VulcanInc,Vulcan Inc.,The engine behind philanthropist & Microsoft cofounder Paul G. Allen's network. Empowered by Paul's vision to make a positive difference in the world.,10-03-2010,19496.0,4579.0,22310.0,20243.0,9160.0,False,True
11259,WALMART INC,walmart,walmArt,Walmart,Where real people go for real good stuff. Save Money. Live Better. Customer support questions? @WalmartHelp,03-11-2008,581351.0,327.0,1218187.0,12106.0,6555.0,False,True
11399,WESTERN DIGITAL CORP,western digital,WesternDigital,Western Digital,"We're creating environments for data to thrive so people, relationships & experiences thrive. Need help? Visit https://t.co/S29Mj5ukep",02-02-2017,4330.0,620.0,48176.0,2390.0,1343.0,False,True
11465,WHIRLPOOL CORP,whirlpool,whirlpoolcorp,Whirlpool Corporation,Welcome to the Official Twitter Account of The World’s Leading Kitchen and Laundry Appliance Company | Customer Service: @WhirlpoolCare | 800-253-1301,10-11-2008,15051.0,1256.0,30296.0,5079.0,5725.0,False,True
11506,WILLIAMS COS INC,williamss,WilliamsRacing,Williams Racing,Official Twitter account of Williams Racing,17-11-2009,39895.0,352.0,1112256.0,1395.0,19530.0,False,True
11584,FOOT LOCKER INC,foot locker,footlocker,Foot Locker,"The official Twitter of Foot Locker, House of Hoops by Foot Locker and https://t.co/JAWCfWzjdj.",26-02-2009,133287.0,4156.0,1544044.0,3874.0,16144.0,False,True
11636,XEROX HOLDINGS CORP,xerox holdings,Xerox,Xerox,"Go Beyond  
https://t.co/M91ZNNCMcB
#BeyondCMYK",26-08-2008,24035.0,2204.0,178624.0,6967.0,1852.0,False,True
12123,BIG LOTS INC,big lots,biglots,biglots,"Live BIG and Save Lots. We help you create cherished memories with affordable solutions for every season, gathering, and celebration! #BigLots",31-07-2008,14193.0,277.0,159404.0,6625.0,2882.0,False,True
12124,MORGAN STANLEY,morgan stanley,morganstanley,Morgan Stanley,"Official Twitter account of Morgan Stanley. We provide a range of investment banking, securities, investment management & wealth management services worldwide.",01-12-2011,9838.0,217.0,585990.0,10.0,4908.0,False,True
12138,PRICE (T. ROWE) GROUP,price (t. rowe) group,troweprice,T. Rowe Price,Investment insights to keep you informed and help your clients make better investment decisions. Intended for US audiences. Guidelines:https://t.co/sOgO5t64eM,05-01-2009,9693.0,554.0,29175.0,696.0,2459.0,False,True
12141,MICROSOFT CORP,microsoft,microsoft,Microsoft,We’re on a mission to empower every person and every organization on the planet to achieve more. Support: @MicrosoftHelps,14-09-2009,19975.0,2545.0,9196678.0,5546.0,2357.0,False,True
12142,ORACLE CORP,oracle,oracle,Oracle,"Leading the cloud. From intelligent business applications to infrastructure, we deliver tomorrow’s emerging technologies today, like the autonomous database.",03-03-2007,21718.0,986.0,777993.0,12165.0,7013.0,False,True
12151,COTY INC,coty,cotyinc,Coty Inc.,We celebrate and liberate the diversity of your beauty.,06-01-2012,831.0,536.0,6043.0,174.0,294.0,False,True
12206,DIRECTV,directv,directv,DIRECTV,ATT/DIRECTV is ranked #1 in Nationally in Customer Satisfaction for TV Service by @jdpower. Tied in 2020. Visit https://t.co/xF1RXnjVzM for more information,29-05-2008,84804.0,1746.0,255191.0,8061.0,7696.0,False,True
12389,HARLEY-DAVIDSON INC,harley-davidson,harleydavidson,Harley-Davidson,The official Twitter feed for the Harley-Davidson Motor Company. #HarleyDavidson,04-11-2008,16818.0,1440.0,450500.0,6756.0,6773.0,False,True
12441,GARTNER INC,gartner,gartner_inc,Gartner,"We’re here to help: View our insights, advice and tools to achieve your mission-critical priorities below.",25-06-2008,27742.0,49926.0,407043.0,5717.0,7376.0,False,True
12540,ADOBE INC,adobe,Adobe,Adobe,Creativity doesn’t just open doors. It opens worlds. Join us in celebrating #CreativityForAll. Need help? Reach out to @AdobeCare.,07-08-2009,41306.0,213.0,685816.0,13755.0,10645.0,False,True
12635,FISERV INC,fiserv,Fiserv,Fiserv,Fiserv (NASDAQ: FISV) is a leading global technology provider serving the financial services industry.,31-12-2008,10652.0,1292.0,21952.0,2636.0,1999.0,False,True
12689,KB HOME,kb home,kbhome,KB Home,KB Home. Built on Relationships. #KBHome,14-11-2008,9146.0,6378.0,17638.0,2560.0,4348.0,False,True
12756,COCA-COLA EUROPEAN PARTNERS,coca-cola european partners,cocacolaep,Coca-Cola EP,"Official tweets from Coca-Cola European Partners (CCEP) the world’s largest independent Coca-Cola bottler, based on net sales.",01-12-2008,4463.0,678.0,8791.0,2721.0,1485.0,False,True
12788,HARMAN INTERNATIONAL INDS,harman international inds,harman,HARMAN,We engineer solutions to enhance life’s experiences and simplify the way people interact with technology that connects them to the world. #HARMANConnectsMe,02-03-2009,5058.0,762.0,21411.0,4167.0,2158.0,False,True
12850,CERNER CORP,cerner,cerner,Cerner,We work at the intersection of health care and information technology to relentlessly seek breakthrough innovation that will shape health care of tomorrow.,23-04-2009,21774.0,1979.0,43577.0,9850.0,2565.0,False,True
12978,KRAFT FOODS GROUP INC,kraft foods group,KraftHeinzCo,The Kraft Heinz Company,News & information from #HereAtKraftHeinz,16-02-2010,2336.0,57.0,19369.0,1146.0,147.0,False,True
13440,LEVEL 3 COMMUNICATIONS INC,level 3mmunications,Level3,CenturyLink (formerly Level 3),Level 3 is now @CenturyLink. Please follow us there or visit https://t.co/w0vAwsrB2l to learn more.,06-01-2010,8532.0,2509.0,26916.0,1416.0,459.0,True,True
13646,TIFFANY & CO,tiffany &,TiffanyAndCo,Tiffany & Co.,"TIFFANY & CO.—founded in New York City in 1837—is synonymous with superlative diamonds, innovative jewelry design and expert craftsmanship.",18-11-2009,15881.0,123.0,1633901.0,1403.0,4105.0,False,True
13714,VIACOMCBS INC,viacomcbs,ViacomCBS,ViacomCBS,We are a global media and entertainment company creating premium content and experiences for audiences in 180+ countries.,15-01-2009,7247.0,718.0,185514.0,6003.0,1773.0,False,True
13988,SCHWAB (CHARLES) CORP,schwab (charles),charlesschwab,Charles Schwab Corp,Be a more informed investor. Follow us for news and insights to help you #Ownyourtomorrow. Disclosures: https://t.co/nswxFWPqQc,13-04-2010,22619.0,739.0,106389.0,3722.0,3846.0,False,True
14225,FASTENAL CO,fastenal,fastenalcompany,Fastenal Company,#Fastenal is a business-to-business supply chain solutions company and a wholesale distributor of industrial and construction supplies. #WeAreWhereYouAre,28-01-2010,5217.0,304.0,12519.0,2749.0,2098.0,False,True
14275,FIRST REPUBLIC BANK,first republic bank,firstrepublic,First Republic Bank,First Republic is a private bank with service at the forefront. It's a privilege to serve you. Member FDIC. Equal Housing Lender.,23-04-2009,8230.0,637.0,47522.0,1666.0,2295.0,False,True
14418,MGM RESORTS INTERNATIONAL,mgm resorts international,MGMResortsIntl,MGM Resorts,Vegas done safely is still Vegas. It’s time to head #BacktoVegas!,26-11-2013,11030.0,2530.0,66979.0,29017.0,3886.0,False,True
14438,ADT CORP,adt,ADT,ADT,Here to help protect what matters most. #SafeAtHome,29-10-2009,31877.0,210.0,49849.0,2801.0,2134.0,False,True
14477,WASTE MANAGEMENT INC,waste management,wastemanagement,Waste Management,Waste Management is the leading provider of comprehensive environmental solutions in North America. Twitter Hours: 8-5 CST (Mon-Fri),25-11-2008,31180.0,1447.0,43197.0,6309.0,4123.0,False,True
14489,DELL TECHNOLOGIES INC,dell technologies,delltech,Dell Technologies,"We help you build your digital future and transform how you work, live and play.",01-04-2016,5024.0,363.0,37508.0,11434.0,2363.0,False,True
14535,EW SCRIPPS  -CL A,ew scripps  -cl a,EWScrippsCo,The E.W. Scripps Co.,Scripps advances understanding of the world through journalism.,22-03-2010,5256.0,1927.0,7915.0,2975.0,1041.0,False,True
14624,OFFICE DEPOT INC,office depot,OfficeDepot,Office Depot,"Here to help you #KeepBusinessGoing. #DiscoverDepot products & services, & learn how we are making a #DepotDifference in our communities.",03-01-2009,39639.0,19628.0,95044.0,10226.0,1581.0,False,True
14650,BMC SOFTWARE INC,bmc software,bmcsoftware,BMC Software,"BMC helps customers run and reinvent their businesses with open, scalable, and modular solutions to complex IT problems.",30-03-2007,25151.0,1788.0,53833.0,4155.0,9090.0,False,True
14934,DEVON ENERGY CORP,devon energy,DevonEnergy,Devon Energy,Devon is a leading oil and gas producer in the U.S. with a premier multi-basin portfolio headlined by a world-class acreage position in the Delaware Basin. $DVN,23-02-2009,1305.0,131.0,14381.0,1058.0,511.0,False,True
15208,FEDERAL HOME LOAN MORTG CORP,federal home loan mortg,AthenaHomeLoans,Athena Home Loans,"The Game-Changing Goddess of Good Stuff
Athena is helping Aussies pay off their home loan faster.
Life’s too short for a long home.
#thehomeloanwrecker",03-06-2017,488.0,1713.0,1161.0,522.0,123.0,False,True
15247,VALERO ENERGY CORP,valero energy,ValeroEnergy,Valero Energy,"The official Twitter of Valero. Fuel isn’t just about driving, but the drive to achieve greatness. Follow us and see what happens when you fuel the unexpected.",28-03-2017,800.0,94.0,8364.0,796.0,289.0,False,True
15521,STAPLES INC,staples,staples,Staples,"We help teams find fulfillment in Worklife by connecting people, ideas and solutions.",18-05-2015,5207.0,3324.0,4086.0,1975.0,206.0,False,True
15855,NORTONLIFELOCK INC,nortonlifelock,nortonlifelock,NortonLifeLock,The official NortonLifeLock account for the latest news in #CyberSafety,17-09-2019,433.0,250.0,1272.0,499.0,87.0,False,True
16101,ABBVIE INC,abbvie,abbvie,AbbVie,AbbVie's global handle featuring biopharmaceutical news & updates managed by our corp digital team. Review our guidelines here: http://t.co/qwZuFRpxk5,21-03-2012,6585.0,499.0,68122.0,1888.0,4139.0,False,True
16721,ELECTRONIC ARTS INC,electronic arts,electronicarts,EA UK,"Your home for EA news across the UK and Ireland on @EASPORTSFIFA, @Battlefield, @PlayApex, @EAStarWars & more. Need help with an EA title? Contact @EAhelp",09-08-2007,9785.0,205.0,335530.0,3110.0,3110.0,False,True
18043,NEWS CORP,news,breakingnews,Breaking News,,13-05-2007,105788.0,547.0,9697693.0,6.0,489.0,False,True
18699,PTC INC,ptc,PTC,PTC,PTC unleashes industrial innovation with market-proven solutions that enable companies to drive #digitaltransformation. Learn more: https://t.co/ODzG00fkc5,25-10-2010,21034.0,12664.0,38821.0,7871.0,5457.0,False,True
20423,CAESARS ENTERTAINMENT CORP,caesars entertainment,caesarsent,Caesars Entertainment,"Over 50 Destinations. One Empire.
Must be 21+ to gamble. Know When to Stop Before You Start.® 
Gambling problem? Call 800-522-4700.",09-07-2010,4905.0,728.0,15492.0,2604.0,1045.0,False,True
20548,CABOT OIL & GAS CORP,cabot oil & gas,CabotOG,Cabot Oil & Gas Corporation,"A leading independent North American natural gas producer with activity focused on Marcellus Shale in northeastern PA
(NYSE:COG) https://t.co/JV1bOgQ6Ry",15-06-2011,4517.0,573.0,22468.0,661.0,1152.0,False,True
20686,SYNCHRONY FINANCIAL,synchrony financial,synchrony,Synchrony,"We’re changing what’s possible for people & businesses in all sorts of ways. For acct support: @AskSynchrony Sun 8a-9p, M/T 8a-10p, W/T 8a-8p, F/S 8a-10p EST",19-09-2008,4595.0,477.0,12831.0,1217.0,1143.0,False,True
20748,ARISTA NETWORKS INC,arista networks,AristaNetworks,Arista Networks,Official news and tweets of Arista Networks: The New Standard in Software Driven Cloud Networking. NYSE: $ANET,16-07-2009,1585.0,211.0,15641.0,138.0,385.0,False,True
21825,CITIZENS FINANCIAL GROUP INC,citizens financial group,CitizensBank,Citizens Bank,"Here to help make you ready for whatever’s next on your journey. Follow us for tips that will prepare you. #MadeReady

For customer service: @AskCitizensBank.",01-11-2010,29689.0,130.0,24089.0,10329.0,1781.0,False,True
22260,HCA HEALTHCARE INC,hca healthcare,hcahealthcare,HCA Healthcare,"Above all else, we are committed to the care and improvement of human life.",10-08-2009,4668.0,680.0,14463.0,1525.0,1760.0,False,True
22325,XILINX INC,xilinx,XilinxInc,Xilinx,"Xilinx is the inventor of the #FPGA, programmable SoCs, and now, the #ACAP. 
#AI #DataCenter #5G",06-05-2009,11463.0,963.0,33278.0,1732.0,3316.0,False,True
23809,AUTOZONE INC,autozone,autozone,AutoZone,"Follow us for AutoZone news, online #deals, #DIY #repair tips & more from the nation's leading autoparts retailer. #GetinTheZone @ http://t.co/JoGk3mZxe7",06-04-2011,15994.0,114.0,39702.0,3771.0,1458.0,False,True
23812,REGENERON PHARMACEUTICALS,regeneron pharmaceuticals,regeneron,Regeneron,Official channel for Regeneron. We turn science into medicine for people with serious diseases. View our terms of engagement here https://t.co/of3QRL6CsA,06-03-2009,4304.0,301.0,27449.0,980.0,1537.0,False,True
24344,VERTEX PHARMACEUTICALS INC,vertex pharmaceuticals,vertexpharma,Vertex,The official Twitter channel dedicated to media announcements & investor communications from Vertex. https://t.co/sZ4ylSrJeU,21-11-2008,2868.0,87.0,65316.0,1053.0,1022.0,False,True
24468,BIOGEN INC,biogen,biogen,Biogen,Official Twitter channel for Biogen. Focused on cutting-edge science and medicine. Community guidelines: http://t.co/Y0FFAiHjRU,14-06-2010,4855.0,253.0,36131.0,912.0,1741.0,False,True
24800,QUALCOMM INC,qualcomm,Qualcomm,Qualcomm,"As we unlock 5G, we’re transforming industries, creating jobs, and enriching lives.",23-10-2009,12940.0,12651.0,436663.0,21107.0,2715.0,False,True
24856,GILEAD SCIENCES INC,gilead sciences,GileadSciences,Gilead Sciences,The impossible is not impossible. It’s simply what hasn’t been achieved yet. Twitter guidelines: https://t.co/d5rgWCmRtR.,02-06-2011,3447.0,206.0,65878.0,969.0,1426.0,False,True
24893,WHOLE FOODS MARKET INC,whole foods market,WholeFoods,Whole Foods Market,"We’re the place to discover new flavors, new favorites and new ideas, whatever those might be. Tag your food obsession of the moment with #MakesMeWhole.",16-06-2008,258975.0,488598.0,4327568.0,37119.0,7045.0,False,True
25124,LINDE PLC,linde plc,Lindeplc,Linde plc,Linde is a world leading gases and engineering company working in more than 100 countries worldwide. Imprint: https://t.co/nCOI9jxjGX…,06-04-2009,3343.0,1285.0,13850.0,1715.0,814.0,False,True
25157,FIRST DATA CORP,first data,FirstData,First Data,First Data is now @Fiserv. We’ve united to create a global leader in payments and financial technology. Follow @Fiserv for news and product updates.,05-12-2008,22361.0,2303.0,33035.0,14104.0,3499.0,False,True
25279,BOSTON SCIENTIFIC CORP,boston scientific,bostonsci,Boston Scientific,"Official news from Boston Scientific, a leading innovator of less invasive medical solutions that transform lives around the world. (NYSE: $BSX)",10-11-2010,2322.0,175.0,33726.0,831.0,806.0,False,True
25338,BED BATH & BEYOND INC,bed bath & beyond,bedbathbeyond,Bed Bath & Beyond,Welcome to our page where you'll find tips & solutions for your home and beyond. Need help? Send us a message! Share your finds with #bedbathandbeyond.,13-09-2011,75662.0,5286.0,177003.0,594.0,3824.0,False,True
25340,D R HORTON INC,d r horton,DRHorton,D.R. Horton,"Official Twitter of #DRHorton Homes. Founded in 1978 - America's Largest #Home Builder. #HomeIsDRHorton
Questions or concerns? https://t.co/DlnlnmjDHD",10-02-2010,9753.0,2.0,15234.0,4048.0,2304.0,False,True
