CEO Name,Company,GVKEY,EXECID,YEAR,trimmed_company_name,Company_Handles,small_username,id,name,username,bio,location,url,join_date,join_time,tweets,following,followers,likes,media,private,verified,profile_image_url,background_image
"August A. Busch, IV",ANHEUSER-BUSCH COS INC,1663,23054,2007,anheuser-busch,AnheuserBusch,anheuserbusch,1435710336,Anheuser-Busch,AnheuserBusch,"America’s best-loved brewery, making stronger communities & meaningful moments. 🍺 Enjoy responsibly. Content & sharing for 21+. ©2020 https://t.co/Lf2DcpQ9ft","St. Louis, MO",https://t.co/svTDmmyqqC,17-05-2013,13:54:41 UTC,4234,137,55412,2209,1091,FALSE,TRUE,https://pbs.twimg.com/profile_images/885279958528086018/_1Cec8Yw_normal.jpg,https://pbs.twimg.com/profile_banners/1435710336/1598978945
Steven P. Jobs,APPLE INC,1690,14302,2007,apple,Apple,apple,,,,,,,,,,,,,,,TRUE,,
Carl Bass,AUTODESK INC,1878,24798,2007,autodesk,autodesk,autodesk,31957731,Autodesk,autodesk,"3D design, engineering, and entertainment software and services. 
Have a question? Visit our community forums: https://t.co/ADDNuPre2j",Worldwide,http://t.co/Kpmdp4ZleV,16-04-2009,16:34:16 UTC,11944,4205,286576,4713,5976,FALSE,TRUE,https://pbs.twimg.com/profile_images/1148378924671361024/gjKidV6b_normal.jpg,https://pbs.twimg.com/profile_banners/31957731/1562629847
Dean A. Scarborough,AVERY DENNISON CORP,1913,18509,2007,avery dennison,AveryDennison,averydennison,166042524,Avery Dennison,AveryDennison,We are a global materials science company specializing in the design and manufacture of a wide variety of labeling and functional materials.,Global,https://t.co/w07Mu5np5z,13-07-2010,05:05:58 UTC,6161,5696,153474,4935,3491,FALSE,TRUE,https://pbs.twimg.com/profile_images/1154071893680349185/GK5Nvtcj_normal.png,https://pbs.twimg.com/profile_banners/166042524/1606779823
Andrea Jung,AVON PRODUCTS,1920,14570,2007,avon products,AvonInsider,avoninsider,21677409,Avon USA,AvonInsider,"Make Life Beautiful.
#NoAnimalTesting 🐇",New York,https://t.co/JLi7CwutWh,23-02-2009,18:31:20 UTC,20064,887,124215,24768,4936,FALSE,TRUE,https://pbs.twimg.com/profile_images/1174501595356237830/yO90rQje_normal.jpg,https://pbs.twimg.com/profile_banners/21677409/1572449682
Ivan G. Seidenberg,VERIZON COMMUNICATIONS INC,2136,1131,2007,verizonmmunications,verizon,verizon,59889953,Verizon,Verizon,The 5G America's been waiting for. #5GBuiltRight,USA,https://t.co/8n276T3RiO,24-07-2009,21:13:55 UTC,136165,555,1669206,19672,9015,FALSE,TRUE,https://pbs.twimg.com/profile_images/1316015640541454341/AvS9GRXl_normal.jpg,https://pbs.twimg.com/profile_banners/59889953/1608823713
Jeffrey H. Curler,BEMIS CO INC,2154,2539,2007,bemis,maxbemis,maxbemis,41828516,Max Bemis,maxbemis,Tweets by Management               https://t.co/TVQCsBDrQN,Tejas,https://t.co/AnIK4XzYAI,22-05-2009,15:04:37 UTC,20161,2909,59079,2185,532,FALSE,TRUE,https://pbs.twimg.com/profile_images/1066980738782904320/Ygl53NjV_normal.jpg,https://pbs.twimg.com/profile_banners/41828516/1599705623
Warren E. Buffett,BERKSHIRE HATHAWAY,2176,125,2007,berkshire hathaway,WarrenBuffett,warrenbuffett,1364930179,Warren Buffett,WarrenBuffett,Chairman and CEO of Berkshire Hathaway,"Omaha, NE",http://t.co/hSMCfarhyQ,19-04-2013,17:07:38 UTC,10,0,1705815,0,3,FALSE,TRUE,https://pbs.twimg.com/profile_images/3599636117/8468a03db84ec4211c3efeba18ac3925_normal.png,https://pbs.twimg.com/profile_banners/1364930179/1367784582
Bradbury H. Anderson,BEST BUY CO INC,2184,6175,2007,best buy,bestbuy,bestbuy,17475575,Best Buy,BestBuy,Let’s talk about what’s possible. Share your best tech with the world using @BestBuy.   Contact @BestBuySupport with customer service questions.,"Richfield, MN",http://t.co/FZzHkTT5uT,19-11-2008,00:23:16 UTC,57897,85,1138129,27181,3953,FALSE,TRUE,https://pbs.twimg.com/profile_images/994249554525499392/-FXXe19c_normal.jpg,https://pbs.twimg.com/profile_banners/17475575/1609337639
Nolan D. Archibald,BLACK & DECKER CORP,2255,134,2007,black & decker,blackanddecker,blackanddecker,74616001,BLACK+DECKER,BLACKANDDECKER,Tackling that to-do list? You Got This. BLACK+DECKER helps you keep up with life.,"Towson, MD",http://t.co/FkakDc55uO,16-09-2009,01:19:35 UTC,6208,1718,45813,2646,1142,FALSE,TRUE,https://pbs.twimg.com/profile_images/1176213995117850625/bIZGwspu_normal.jpg,https://pbs.twimg.com/profile_banners/74616001/1575316550
Mark A. Ernst,BLOCK H & R INC,2269,17274,2007,block h & r,hrblock,hrblock,10673252,H&R Block,HRBlock,"Tax prep doesn’t have to be hard. At H&R Block, we have many filing options to make it easy for you. Professional tax prep with or without the office visit.","Kansas City, MO",https://t.co/KN0avBpuxY,27-11-2007,23:50:12 UTC,31711,6684,38199,3478,2569,FALSE,TRUE,https://pbs.twimg.com/profile_images/1195087456548401166/kmi8U-M9_normal.jpg,https://pbs.twimg.com/profile_banners/10673252/1608305661
"W. James McNerney, Jr.",BOEING CO,2285,23288,2007,boeing,boeing,boeing,25103967,The Boeing Company,Boeing,"Boeing has a tradition of aerospace leadership and innovation, and is committed to investing in the communities where our people work and live worldwide.","Chicago, IL",http://t.co/z1CcoQKVu4,18-03-2009,16:44:27 UTC,5365,237,605066,793,985,FALSE,TRUE,https://pbs.twimg.com/profile_images/1064567396772401152/ex2Q59H8_normal.jpg,https://pbs.twimg.com/profile_banners/25103967/1583960382
Sammy K. Duncan,OFFICEMAX INC,2290,15349,2007,officemax,OfficeMax,officemax,21104725,OfficeMax Inc.,OfficeMax,"For all customer inquiries, please go to @officedepot.","Naperville, Illinois",https://t.co/HojN04Fmlt,17-02-2009,16:48:34 UTC,6027,2401,29690,224,616,FALSE,TRUE,https://pbs.twimg.com/profile_images/1099028387677593600/PjBq_wOd_normal.png,https://pbs.twimg.com/profile_banners/21104725/1550863767
"Harold Max Messmer, Jr.",ROBERT HALF INTL INC,2312,12308,2007,robert half intl,roberthalf,roberthalf,16637298,Robert Half,roberthalf,Robert Half is the world’s first and largest specialized staffing firm.,"Menlo Park, Calif.",http://t.co/J7MmYyQ2iJ,07-10-2008,21:22:43 UTC,11807,9274,24001,14440,4608,FALSE,TRUE,https://pbs.twimg.com/profile_images/1280163340350881793/oVWylaNE_normal.jpg,https://pbs.twimg.com/profile_banners/16637298/1591986647
James Milton Cornelius,BRISTOL-MYERS SQUIBB CO,2403,2774,2007,bristol-myers squibb,bmsnews,bmsnews,34010976,Bristol Myers Squibb,bmsnews,Global Specialty Care BioPharma,"New York, New York",https://t.co/Kb7NVYWK2r,21-04-2009,19:31:42 UTC,7414,1114,148826,1115,3507,FALSE,TRUE,https://pbs.twimg.com/profile_images/1278294354868699136/4H_mERHl_normal.jpg,https://pbs.twimg.com/profile_banners/34010976/1593604110
Paul C. Varga,BROWN FORMAN CORP,2435,27109,2007,brown forman,BrownForman,brownforman,9.99E+17,Brown-Forman,brownforman,Please Drink Responsibly. Legal drinking age only. Don't share with anyone underage. https://t.co/bgrPwujH2G ©2021 Brown-Forman. All rights reserved.,,https://t.co/zKPbjL94Gy,23-05-2018,14:27:53 UTC,1690,37,1118,943,1500,FALSE,TRUE,https://pbs.twimg.com/profile_images/1346123127215050754/JnPqjT3S_normal.jpg,https://pbs.twimg.com/profile_banners/999295860486918144/1577884670
Matthew K. Rose,BURLINGTON NORTHERN SANTA FE,2490,16288,2007,burlington northern santa ,metraBNF,,,,,,,,,,,,,,,,TRUE,,
H. Edward Hanway,CIGNA CORP,2547,10499,2007,cigna,cigna,cigna,37687077,Cigna,Cigna,"Community that highlights what Cigna is doing around the globe to help improve the health, well-being, and peace of mind of those we serve.",Worldwide,https://t.co/Vv5S4FGzJ6,04-05-2009,15:48:14 UTC,25730,2312,50350,4328,7344,FALSE,TRUE,https://pbs.twimg.com/profile_images/877941578920329225/578rghFQ_normal.jpg,https://pbs.twimg.com/profile_banners/37687077/1585773302
Douglas R. Conant,CAMPBELL SOUP CO,2663,12560,2007,campbell soup,CampbellSoupCo,campbellsoupco,37008048,Campbell Soup Co,CampbellSoupCo,We're proud of what we bring to the table: Real food that matters for life's moments. Visit @CampbellCares for help.,"Camden, NJ",http://t.co/aEjaE6QzLs,01-05-2009,18:35:16 UTC,6814,61,92132,2257,1694,FALSE,TRUE,https://pbs.twimg.com/profile_images/1170020180216426496/Jf2Mme-f_normal.jpg,https://pbs.twimg.com/profile_banners/37008048/1577807602
"Robert S. Sands, II",CONSTELLATION BRANDS,2710,13570,2007,constellation brands,cbrands,cbrands,8.98E+17,Constellation Brands,cbrands,Constellation is a leading international producer and marketer of high-end beer and premium wine and spirits brands that are #WorthReachingFor.,"Victor, NY",https://t.co/qiQnTXZIFZ,17-08-2017,14:54:28 UTC,851,303,37768,75,520,FALSE,TRUE,https://pbs.twimg.com/profile_images/1278278888804823047/wgEaDD9T_normal.jpg,https://pbs.twimg.com/profile_banners/898196334540402688/1579024946
Ronal Kerry Clark,CARDINAL HEALTH INC,2751,20200,2007,cardinal health,cardinalhealth,cardinalhealth,256225105,Cardinal Health,cardinalhealth,"The news handle for Cardinal Health on Twitter, providing up-to-date info and announcements from the public relations team. Twitter disclaimer below.","Dublin, Ohio",https://t.co/bs92hu5jkT,22-02-2011,22:41:04 UTC,4496,1269,16572,3596,1186,FALSE,TRUE,https://pbs.twimg.com/profile_images/859144589265031168/8Z-3H7MG_normal.jpg,https://pbs.twimg.com/profile_banners/256225105/1610040129
James W. Owens,CATERPILLAR INC,2817,10422,2007,caterpillar,caterpillarinc,caterpillarinc,15101714,CaterpillarInc,CaterpillarInc,"For more than 90 years, Caterpillar Inc. has been making sustainable progress possible and driving positive change on every continent.","Deerfield, IL",https://t.co/iZ64EntaVc,12-06-2008,22:00:06 UTC,12403,244,138322,1267,5797,FALSE,TRUE,https://pbs.twimg.com/profile_images/1104430883761733639/nhptxXQp_normal.png,https://pbs.twimg.com/profile_banners/15101714/1607546950
"Glen F. Post, III",CENTURYLINK INC,2884,190,2007,centurylink,centurylink,centurylink,44182242,CenturyLink,CenturyLink,Transforming lives and businesses through innovative technology solutions. Follow along. Customer support available @CenturyLinkHelp.,,https://t.co/1lISTgNh4w,02-06-2009,19:07:02 UTC,10237,449,39255,3474,3045,FALSE,TRUE,https://pbs.twimg.com/profile_images/1098239264259821570/G34cTENE_normal.png,https://pbs.twimg.com/profile_banners/44182242/1550559128
James Dimon,JPMORGAN CHASE & CO,2968,3766,2007,jpmorgan chase &,jpmorgan,jpmorgan,1155522630,J.P. Morgan,jpmorgan,"Official account for the latest company news and updates from Asset Management, Private Banking, Commercial Banking, and the Corporate and Investment Bank.",,https://t.co/YZXwLvkGbJ,07-02-2013,00:35:00 UTC,7376,48,551200,481,2308,FALSE,TRUE,https://pbs.twimg.com/profile_images/1117785402805510144/7IIbavCD_normal.png,https://pbs.twimg.com/profile_banners/1155522630/1537565360
David J. O'Reilly,CHEVRON CORP,2991,14687,2007,chevron,chevron,chevron,21021891,Chevron,Chevron,"our greatest resource is our people. their ingenuity & creativity have met the complex challenges of energy’s past. together, we’ll take on the future.","San Ramon, CA",https://t.co/00ro9DnAs5,16-02-2009,20:16:08 UTC,15950,261,374512,475,2080,FALSE,TRUE,https://pbs.twimg.com/profile_images/1104185604655513600/i4OaGpuc_normal.png,https://pbs.twimg.com/profile_banners/21021891/1583856815
John Daniel Finnegan,CHUBB CORP,3024,21503,2007,chubb,chubb,chubb,39550624,Chubb,Chubb,Chubb is the world’s largest publicly traded property and casualty insurer.,"Zurich, Switzerland",https://t.co/x1xq4hm7o3,12-05-2009,17:40:14 UTC,4933,806,27576,502,2350,FALSE,TRUE,https://pbs.twimg.com/profile_images/1085588488815292416/D16eMyPl_normal.jpg,https://pbs.twimg.com/profile_banners/39550624/1556824039
Mark Pitman Mays,IHEARTMEDIA INC,3105,12529,2007,iheartmedia,iheartmedia,iheartmedia,95735455,iHeartMedia,iHeartMedia,"iHeartMedia, Inc. is one of the leading global media and entertainment companies. For more company information visit http://t.co/34j8b9xuRq.",,http://t.co/MoNKzhL2XP,09-12-2009,21:26:02 UTC,1762,836,22863,465,385,FALSE,TRUE,https://pbs.twimg.com/profile_images/898212010894086144/Na1MrZR8_normal.jpg,https://pbs.twimg.com/profile_banners/95735455/1442857800
Donald R. Knauss,CLOROX CO/DE,3121,32795,2007,clorox/de,clorox,clorox,76430569,Clorox,Clorox,"Clean is just the beginning. 
What comes next is everything.","Oakland, CA",http://t.co/iEOgRTakCj,22-09-2009,19:52:27 UTC,20749,5189,106518,4176,651,FALSE,TRUE,https://pbs.twimg.com/profile_images/1179118703327076352/oeXb4f39_normal.jpg,https://pbs.twimg.com/profile_banners/76430569/1540495283
Edward Neville Isdell,COCA-COLA CO,3144,2047,2007,coca-cola,CocaCola,cocacola,26787673,Coca-Cola,CocaCola,This holiday season #ShareACoke with the people who lift you up all year long.,"Atlanta, GA",https://t.co/wCprVHxNoK,26-03-2009,16:36:42 UTC,282287,59563,3317768,23559,114487,FALSE,TRUE,https://pbs.twimg.com/profile_images/1234873883850952704/JQhv0G7n_normal.jpg,https://pbs.twimg.com/profile_banners/26787673/1592943063
Reuben Mark,COLGATE-PALMOLIVE CO,3170,229,2007,colgate-palmolive,CP_News,cp_news,128668358,Colgate-Palmolive,CP_News,Welcome to the official home for Colgate-Palmolive news. #WeAreColgate,"New York, NY, USA",http://t.co/nddJpL1CnN,01-04-2010,20:52:17 UTC,3544,643,34893,1546,766,FALSE,TRUE,https://pbs.twimg.com/profile_images/1156917742945148928/ncJ-kF-G_normal.jpg,https://pbs.twimg.com/profile_banners/128668358/1602516437
Gregory C. Case,AON PLC,3221,29734,2007,aon plc,Aon_plc,aon_plc,22152077,Aon,Aon_plc,"Aon plc (NYSE:AON) is a leading global professional services firm providing a broad range of #risk, #retirement and #health solutions.",120 countries around the globe,http://t.co/QVMna9rFn0,27-02-2009,15:43:53 UTC,4511,1257,38870,559,1128,FALSE,TRUE,https://pbs.twimg.com/profile_images/1278320901365346305/khs-5DND_normal.jpg,https://pbs.twimg.com/profile_banners/22152077/1593610429
Brian L. Roberts,COMCAST CORP,3226,233,2007,comcast,comcast,comcast,89587925,Comcast,comcast,Shaping the future at the intersection of media & technology.,"Philadelphia, PA",https://t.co/S0I1bXLwxU,13-11-2009,00:56:26 UTC,68251,0,177243,6298,2768,FALSE,TRUE,https://pbs.twimg.com/profile_images/1126527644902797312/spu6AXFp_normal.png,https://pbs.twimg.com/profile_banners/89587925/1557420475
"Charles Prince, III",CITIGROUP INC,3243,24398,2007,citigroup,citi,citi,79320096,Citi,Citi,Serving as a trusted partner to our clients by responsibly providing financial services that enable growth & economic progress. Customer service: @AskCiti,"New York, NY",http://t.co/XUSDix8qMx,02-10-2009,23:45:06 UTC,18395,352,913062,2676,3196,FALSE,TRUE,https://pbs.twimg.com/profile_images/1278075923993165826/VCJlmjwv_normal.png,https://pbs.twimg.com/profile_banners/79320096/1602586976
Michael W. Laphen,DXC TECHNOLOGY CO,3336,23465,2007,dxc technology,DXCTechnology,dxctechnology,599689553,DXC Technology,DXCTechnology,We help our customers across the entire enterprise tech stack with differentiated industry solutions. Connect with our award-winning teams across the world.,Global Technology Company,https://t.co/rxQgOzkYut,05-06-2012,00:40:02 UTC,21989,11955,33044,10655,12801,FALSE,TRUE,https://pbs.twimg.com/profile_images/1300584104627499008/THC2kyJd_normal.jpg,https://pbs.twimg.com/profile_banners/599689553/1598919795
Gary M. Rodkin,CONAGRA BRANDS INC,3362,24486,2007,conagra brands,conagrabrands,conagrabrands,92357890,Conagra Brands,ConagraBrands,"Conagra Brands is one of North America’s leading branded food companies. To view our portfolio of brands, visit https://t.co/UsA2WOi5zZ.","Chicago, IL",https://t.co/fMXQTQvDu1,24-11-2009,20:30:48 UTC,9611,854,22833,5456,1068,FALSE,TRUE,https://pbs.twimg.com/profile_images/796732185726349313/hnSN_8XH_normal.jpg,https://pbs.twimg.com/profile_banners/92357890/1597174784
Kevin G. Burke,CONSOLIDATED EDISON INC,3413,21287,2007,consolidated edison,conedison,conedison,20262083,Con Edison,ConEdison,Official Twitter handle for Con Edison. For gas odors leave area & call 911. Report power issues at https://t.co/lVVABPWFeG. Contact us at 1-800-75-CONED.,New York,https://t.co/rm2erhllA8,06-02-2009,19:13:04 UTC,31270,3441,41687,2932,1439,FALSE,TRUE,https://pbs.twimg.com/profile_images/1145781323677741057/S0PTp8bw_normal.png,https://pbs.twimg.com/profile_banners/20262083/1386172075
"W. Leo Kiely, III",MOLSON COORS BEVERAGE CO,3505,2140,2007,molsonors beverage,molsoncoors,molsoncoors,441998843,Molson Coors Beverage Company,MolsonCoors,"Brewing beverages that unite people for more than two centuries.

Only for 21+. Drink Responsibly. PRIV: https://t.co/KfLPjXDQXM T&C: https://t.co/nlJx8PedPo. 800-645-5376.",Chicago/Montreal,https://t.co/e1FNLebVES,20-12-2011,16:58:10 UTC,9775,2564,33478,7821,4510,FALSE,TRUE,https://pbs.twimg.com/profile_images/1227649640683757568/oPVydH8n_normal.jpg,https://pbs.twimg.com/profile_banners/441998843/1581531325
Wendell P. Weeks,CORNING INC,3532,18411,2007,corning,corning,corning,65457124,Corning Incorporated,Corning,"Official Twitter of Corning Incorporated; materials science innovator & leader in specialty glass, ceramics & optical physics. Terms: https://t.co/UgtAnA12pG","Headquarters in Corning, N.Y.",https://t.co/HOVMAxyoXE,13-08-2009,20:19:59 UTC,7827,709,30360,2448,2975,FALSE,TRUE,https://pbs.twimg.com/profile_images/1267883514445299714/05sxcqfL_normal.jpg,https://pbs.twimg.com/profile_banners/65457124/1600352934
Theodore M. Solso,CUMMINS INC,3650,2205,2007,cummins,Cummins,cummins,87299367,Cummins Inc.,Cummins,"We live in an Always On world that stands at the gateway of a more sustainable future. At Cummins, we're inventing the technology that will take us there.",Worldwide,http://t.co/vqpmj3Bha9,03-11-2009,22:26:00 UTC,3866,474,124079,3208,672,FALSE,TRUE,https://pbs.twimg.com/profile_images/955517185937391617/ZFQQexpL_normal.jpg,https://pbs.twimg.com/profile_banners/87299367/1605534524
Robert W. Lane,DEERE & CO,3835,20675,2007,deere &,johndeere,johndeere,18726666,John Deere,JohnDeere,Nothing runs like a Deere,,https://t.co/UmNO0prydM,07-01-2009,16:19:31 UTC,11127,224,193874,5982,3790,FALSE,TRUE,https://pbs.twimg.com/profile_images/1153707833193652224/VWvXWmb-_normal.jpg,https://pbs.twimg.com/profile_banners/18726666/1610144161
Gerald Grinstein,DELTA AIR LINES INC,3851,158,2007,delta air lines,delta,delta,5920532,Delta,Delta,"Caring for you is our top priority. For the most up to date information on how we’re responding to COVID-19, visit: https://t.co/l5WcWVfLXl",Global,https://t.co/9nlY9CLejW,10-05-2007,04:31:14 UTC,1125774,39090,1593247,3350,2231,FALSE,TRUE,https://pbs.twimg.com/profile_images/1275507788609880070/O1z2hVZv_normal.jpg,https://pbs.twimg.com/profile_banners/5920532/1598892361
"Anthony F. Earley, Jr.",DTE ENERGY CO,3897,1298,2007,dte energy,dte_energy,dte_energy,56693003,DTE_Energy,DTE_Energy,Providing breaking news and tips from Michigan’s largest electric and gas company. Got a question? Message us from 8am-11pm seven days a week.,"Detroit, MI",https://t.co/PiN4uZss3J,14-07-2009,13:28:57 UTC,28226,1576,26594,5032,5594,FALSE,TRUE,https://pbs.twimg.com/profile_images/1176204327465172999/8tVDFXmA_normal.jpg,https://pbs.twimg.com/profile_banners/56693003/1585678397
Daniel M. Hamburger,ADTALEM GLOBAL EDUCATION INC,3905,25735,2007,adtalem global education,adtalemglobal,adtalemglobal,305048981,Adtalem Global,adtalemglobal,"We empower students and professionals to achieve their goals, find success and make inspiring contributions to our global community.",Global Education Provider,https://t.co/ZzjrVwkhUQ,25-05-2011,15:13:12 UTC,3901,569,2461,2155,706,FALSE,TRUE,https://pbs.twimg.com/profile_images/867251647646502912/iB0vygIm_normal.jpg,https://pbs.twimg.com/profile_banners/305048981/1560955644
"William T. Dillard, II",DILLARDS INC  -CL A,3964,2332,2007,dillards  -cl a,Dillards,dillards,63276081,Dillard's,Dillards,Official Dillard's Twitter,"Nationwide, USA",https://t.co/rwXo5OvIoi,05-08-2009,22:16:36 UTC,4913,304,29306,1645,1375,FALSE,TRUE,https://pbs.twimg.com/profile_images/638796789571801088/p4X10HEZ_normal.png,https://pbs.twimg.com/profile_banners/63276081/1609370512
Robert A. Iger,DISNEY (WALT) CO,3980,1557,2007,disney (walt),disney,disney,,,,,,,,,,,,,,,TRUE,,
