Company,Handle,Twitter_Descr,verified
AMERICAN EXPRESS CO,PolitiFactTexas,"The nonpartisan politics fact-checking project of the Austin American-Statesman, Houston Chronicle, San Antonio Express-News and https://t.co/g7BBBPDHUm.",True
AMERICAN INTERNATIONAL GROUP,AIGinsurance,"Global insurance company committed to preparing our clients for what's next. For service, tweet us! 👋  Our Community Guidelines: https://t.co/7bcUQ3GZsV",True
AMERICAN INTERNATIONAL GROUP,ralphsantana,"Global CMO of @HARMAN. Father, husband & American History aficionado. Passionate about diversity, the marketing landscape  & my team who brings it all to life.",True
AMGEN INC,Amgen,Patients. They're why we develop and manufacture innovative human therapeutics to treat serious diseases. Community Guidelines: https://t.co/0txZKKMAVg,True
AMGEN INC,AmgenOncology,Advancing oncology at the speed of life™. Tweets intended for U.S. audience. See our Community Guidelines: https://t.co/C5ckNbU9RL.,True
AMGEN INC,AmgenGermany,"Unsere Mission: Patienten helfen. Wir nutzen #Biotechnologie, um schwere Krankheiten zu behandeln. Unsere Community Guidelines: https://t.co/R9tHgRkYfW",True
APPLE INC,Apple,https://t.co/jw2s2L0RLt,True
APPLE INC,pschiller,"Apple Fellow, Illumina, Boston College, Bowdoin, Sports Cars, Marine Science, Scuba, Drums, Photography, Prog Rock fan. (PSA: I block haters)",True
APPLE INC,AngelaAhrendts,"Former SVP Apple Retail, CEO Burberry.  Currently loving wife, mom, daughter, friend.  Inspired by great brands & people making a great impact.",True
APPLE INC,BoysStateMovie,Watch now exclusively on Apple TV+,True
APPLE INC,SheivaYazdani,"Games Marketing @AppleArcade | Previously @GameSpot & @LimbicSoftware | Gamer, cosplayer, and low-key Twitch streamer | https://t.co/DAnJoA5k5R",True
APPLE INC,trippmickle,"The Wall Street Journal's reporter on Apple Inc. Past: WSJ alcohol & tobacco reporter, SportsBusiness Journal & @wakeforest. Email: tripp.mickle@wsj.com",True
APPLE INC,DaveAtBEATS,"Director, Artist Advocacy at Din Workshop. Former Apple, Inc.  Artist Relations, Gang of Four, Passion = music & tech, Thinker/Writer. Opinions my own.",True
AUTODESK INC,autodesk,"3D design, engineering, and entertainment software and services. 
Have a question? Visit our community forums: https://t.co/ADDNuPre2j",True
AUTOMATIC DATA PROCESSING,ADP,"HR, Talent, Time Management, Benefits and Payroll.  Informed by data and designed for people.",True
AVERY DENNISON CORP,AveryDennison,We are a global materials science company specializing in the design and manufacture of a wide variety of labeling and functional materials.,True
AVON PRODUCTS,AvonInsider,"Make Life Beautiful.
#NoAnimalTesting 🐇",True
AVON PRODUCTS,Avon_UK,The official Avon UK page. Fighting wrinkles with one hand and Breast Cancer with the other. For 130 years we’ve stood for innovative beauty but above all WOMEN,True
AVON PRODUCTS,AvonIndia,"130 years of standing for her and counting! Avon innovates and provides beauty products sold primarily to women, through women. #Stand4Her",True
AVON PRODUCTS,avonturkiye,Avon Türkiye Resmi Twitter Hesabı #ŞimdiSıraBende,True
VERIZON COMMUNICATIONS INC,Verizon,The 5G America's been waiting for. #5GBuiltRight,True
VERIZON COMMUNICATIONS INC,vzpublicsector,"From local government to federal, public safety and education, technology is changing the way we do everything. And we’re here to make sure you’re ready.",True
VERIZON COMMUNICATIONS INC,FrontierCorp,"Official tweets for Frontier Communications, your local provider of phone, internet, and TV. Contact us: @AskFrontier or 1.866.573.9972.",True
BEST BUY CO INC,BestBuy,Let’s talk about what’s possible. Share your best tech with the world using @BestBuy.   Contact @BestBuySupport with customer service questions.,True
BEST BUY CO INC,BBYNews,"The official Twitter account for Best Buy Public Relations. The source for news and info about the brands & operations of Best Buy Co., Inc. press@bestbuy.com",True
BEST BUY CO INC,Overstock,"Shop the best deals online with Overstock and get everyday FREE SHIPPING!* Buy furniture, home decor, rugs, and more. Enchanting Twitter since 2008.",True
BLACK & DECKER CORP,BLACKANDDECKER,Tackling that to-do list? You Got This. BLACK+DECKER helps you keep up with life.,True
BLOCK H & R INC,HRBlock,"Tax prep doesn’t have to be hard. At H&R Block, we have many filing options to make it easy for you. Professional tax prep with or without the office visit.",True
BLOCK H & R INC,HRBlockAnswers,Official H&R Block Client Service Team on Twitter. Have questions or need help? We’re here for you. Tweeting Monday through Friday 8am – 6pm CST,True
BLOCK H & R INC,HRBlockNews,"Stories of providing help and inspiring confidence in our clients and communities everywhere, plus the people who make it happen. mediadesk@hrblock.com @HRBlock",True
BOEING CO,Boeing_In,Official account of @Boeing India. Boeing has a tradition of over 75 years of aerospace leadership and innovation in India. https://t.co/5WSB6H0tdO,True
BOEING CO,united,"We're here 24/7 to tell you what you need to know to get you where you want to go. For the latest on health & safety, visit https://t.co/r0KuzPNFBD or text FLYUA.",True
OFFICEMAX INC,OfficeMax,"For all customer inquiries, please go to @officedepot.",True
OFFICEMAX INC,officedepot,"Here to help you #KeepBusinessGoing. #DiscoverDepot products & services, & learn how we are making a #DepotDifference in our communities.",True
BURLINGTON NORTHERN SANTA FE,BNSFRailway,BNSF Railway is an Equal Opportunity Employer. Follows are not endorsements. Call 800-832-5452 to report track or crossing issues. Account not monitored 24/7.,True
CAMPBELL SOUP CO,CampbellSoupCo,We're proud of what we bring to the table: Real food that matters for life's moments. Visit @CampbellCares for help.,True
CAMPBELL SOUP CO,CampbellsChunky,The official Campbell's Chunky Soup page brought to you by Campbell Soup Company. https://t.co/oPEahOJMsS,True
CONSTELLATION BRANDS,cbrands,Constellation is a leading international producer and marketer of high-end beer and premium wine and spirits brands that are #WorthReachingFor.,True
CONSTELLATION BRANDS,PenskeMedia,"PMC is a constellation of global media brands fueled by remarkable content across our digital, video, print, and event properties.",True
CARDINAL HEALTH INC,cardinalhealth,"The news handle for Cardinal Health on Twitter, providing up-to-date info and announcements from the public relations team. Twitter disclaimer below.",True
CATERPILLAR INC,CaterpillarInc,"For more than 90 years, Caterpillar Inc. has been making sustainable progress possible and driving positive change on every continent.",True
JPMORGAN CHASE & CO,jpmorgan,"Official account for the latest company news and updates from Asset Management, Private Banking, Commercial Banking, and the Corporate and Investment Bank.",True
JPMORGAN CHASE & CO,Chase,"Official handle for Chase. For customer support, Tweet @ChaseSupport. https://t.co/OnnV42OBrP",True
JPMORGAN CHASE & CO,IVMFSyracuseU,"The Institute for Veterans and Military Families provides programs to veterans, service members, and military families. 

Founding Partner: JPMorgan Chase & Co.",True
JPMORGAN CHASE & CO,WePay,"We’re the integrated payments business of JPMorgan Chase, delivering payments you can bank on. Visit https://t.co/vt6UeP0kCC for support.",True
CHEVRON CORP,Chevron,"our greatest resource is our people. their ingenuity & creativity have met the complex challenges of energy’s past. together, we’ll take on the future.",True
CHUBB CORP,Chubb,Chubb is the world’s largest publicly traded property and casualty insurer.,True
CHUBB CORP,ChubbNA,"North American operations of global insurer @Chubb / Activités nord-américaines de @Chubb, Assureur international. Social Media Guidelines: https://t.co/R8XnynxSMK",True
IHEARTMEDIA INC,iHeartMedia,"iHeartMedia, Inc. is one of the leading global media and entertainment companies. For more company information visit http://t.co/34j8b9xuRq.",True
IHEARTMEDIA INC,Rock1053,"KIOZ / Rock 105.3 is San Diego's Active Rock station. Owned and operated by iHeartMedia, Inc. Rock 105.3 is San Diego's station that plays hard rock.",True
IHEARTMEDIA INC,michellemlanz,"Audio producer. Podcast development for @iHeartMedia. Founder of Aural Media, Inc. Previous: @ThroughlineNPR @stretchandbob @TheFrame @kpcc",True
CLOROX CO,CloroxCo,"Your official home for updates on The Clorox Company. Through our family of brands, we champion people to be well and thrive every single day.",True
COCA-COLA CO,CocaColaCo,"Refresh the World.  Make a Difference.
...company news, brands, sustainability, innovation and inspiration",True
COCA-COLA CO,CocaColaCo_ca,"We are here to refresh Canadians and make a difference. 🍁

Follow along for news, insights and announcements from Coca-Cola Canada’s corporate team.",True
COCA-COLA CO,CocaColaAU_Co,"Bringing you the latest news and stories from Coca-Cola Australia. For consumer care, please call 1800 025 123",True
COCA-COLA CO,CocaCola_Ind,"This is the official twitter account for Coca-Cola India. To buy, click here: https://t.co/raF0nkpJAk",True
COCA-COLA CO,ThumsUpOfficial,"The official Twitter handle for Thums Up. To buy, click here: https://t.co/vrzmsSUkSI",True
COCA-COLA CO,MaazaIndia,"Universally loved for its taste, color, thickness and wholesome properties, Maaza is the mango lover's first choice. To buy, click: https://t.co/raF0nkHkYU",True
COCA-COLA CO,sprite_india,"This is the official twitter account for Sprite India. To buy, click: https://t.co/N96iwaosAg",True
COCA-COLA CO,Fanta_India,"This is the official twitter account for Fanta India. To buy, click: https://t.co/jjoAv866jB",True
COCA-COLA CO,CocaColaRoxy,"Official Twitter Account for Coca-Cola Roxy, located in Battery Atlanta next to Truist Park. Info & tickets: https://t.co/FN6aPqQyq4",True
COCA-COLA CO,cocacolaie,"Make your resolution & pick up a special #OpentoBetter pack in store or personalise your own.
ROI https://t.co/OlBweTnuAD
NI https://t.co/QesnaDl0uX",True
COCA-COLA CO,eveharlow,Child of Marx and Coca Cola. https://t.co/nglCkXhhW8,True
COCA-COLA CO,CocaColaCoCL,Las grandes historias de Coca-Cola viven en Journey. ¡Acompáñanos en este viaje!,True
COCA-COLA CO,CocaColaCoPY,Las grandes historias de Coca-Cola viven en Journey. ¡Acompañanos en este viaje y conocé más sobre la Compañía en nuestro país y en el mundo!,True
COCA-COLA CO,CocaColaCo_PE,Las grandes historias de Coca-Cola viven en Journey. ¡Acompáñanos en este viaje!,True
COCA-COLA CO,CocaColaCoUY,Las grandes historias de Coca-Cola viven en Journey. ¡Acompañanos en este viaje y conocé más sobre la Compañía en nuestro país y en el mundo!,True
COCA-COLA CO,CocaColaCo_es,"No vamos a parar hasta conseguirlo. HAGÁMOSLO JUNTOS 
#CocaColaHagamosloJuntos 👉 https://t.co/E4NchWuWFA https://t.co/Y1PnkoYQAy",True
COCA-COLA CO,CocaColaCoAR,Las grandes historias de Coca-Cola viven en Journey. ¡Acompañanos en este viaje y conocé más sobre la Compañía en nuestro país y en el mundo!,True
COCA-COLA CO,CocaColaCoBO,Journey es el medio de comunicación de #CocaCola para todo el mundo. ¡Acompáñanos en este viaje!,True
AON PLC,Aon_plc,"Aon plc (NYSE:AON) is a leading global professional services firm providing a broad range of #risk, #retirement and #health solutions.",True
AON PLC,XSchauffele,PGA Tour Player | San Diego State Alumni | https://t.co/hlrqqUyGdP | @CallawayGolf @AdidasGolf @Hyland @Aon_plc,True
CITIGROUP INC,Citi,Serving as a trusted partner to our clients by responsibly providing financial services that enable growth & economic progress. Customer service: @AskCiti,True
CA INC,MarvelStudiosCA,The official Twitter account for Marvel Studios Canada,True
CA INC,eBayCanada,The official Twitter for eBay Canada. The world's online marketplace!,True
CA INC,CAinc,CA Technologies is now a Broadcom company. Follow @Broadcom to stay up to date on company news and products.,True
CA INC,CA_IM,CA Technologies is now a Broadcom company. Follow @Broadcom to stay up to date on company news and products.,True
CONAGRA BRANDS INC,ConagraBrands,"Conagra Brands is one of North America’s leading branded food companies. To view our portfolio of brands, visit https://t.co/UsA2WOi5zZ.",True
CONSOLIDATED EDISON INC,ConEdison,Official Twitter handle for Con Edison. For gas odors leave area & call 911. Report power issues at https://t.co/lVVABPWFeG. Contact us at 1-800-75-CONED.,True
MOLSON COORS BEVERAGE CO,MolsonCoors,"Brewing beverages that unite people for more than two centuries.

Only for 21+. Drink Responsibly. PRIV: https://t.co/KfLPjXDQXM T&C: https://t.co/nlJx8PedPo. 800-645-5376.",True
MOLSON COORS BEVERAGE CO,vizzyseltzer,"21+ only. Don't share w/those under 21. Drink Responsibly. Molson Coors Beverage Co., Fort Worth, TX. PRIV: https://t.co/KfLPjXDQXM T&C: https://t.co/nlJx8PedPo",True
CORNING INC,Corning,"Official Twitter of Corning Incorporated; materials science innovator & leader in specialty glass, ceramics & optical physics. Terms: https://t.co/UgtAnA12pG",True
CORNING INC,OwensCorning,TM & © 2019 MGM. The color PINK is a registered trademark of Owens Corning. © 2019 Owens Corning. All Rights Reserved.,True
CORNING INC,OCInsulation,Our building science makes insulation smarter.,True
COUNTRYWIDE FINANCIAL CORP,BankofAmerica,"The power to connect with people and exchange ideas. For account issues, please use @BofA_Help",True
COUNTRYWIDE FINANCIAL CORP,BofA_News,The power to get the latest 𝙣𝙚𝙬𝙨 📰 and 𝙞𝙣𝙛𝙤𝙧𝙢𝙖𝙩𝙞𝙤𝙣 💻 and 𝙨𝙩𝙖𝙮 𝙘𝙤𝙣𝙣𝙚𝙘𝙩𝙚𝙙 with Bank of America during the #𝗗𝗮𝘃𝗼𝘀𝗔𝗴𝗲𝗻𝗱𝗮.,True
COUNTRYWIDE FINANCIAL CORP,BofA_Tips,Great news: our money management tips (including #BetterMoneyHabits) will now run on @BankofAmerica.  We are retiring this account.,True
CUMMINS INC,Cummins,"We live in an Always On world that stands at the gateway of a more sustainable future. At Cummins, we're inventing the technology that will take us there.",True
DEERE & CO,JohnDeere,Nothing runs like a Deere,True
DEERE & CO,JuddPDeere45,"This is an archive of a Trump Administration account, maintained by the National Archives and Records Administration.",True
DELTA AIR LINES INC,Delta,"Caring for you is our top priority. For the most up to date information on how we’re responding to COVID-19, visit: https://t.co/l5WcWVfLXl",True
ADTALEM GLOBAL EDUCATION INC,adtalemglobal,"We empower students and professionals to achieve their goals, find success and make inspiring contributions to our global community.",True
ADTALEM GLOBAL EDUCATION INC,lisawwardell,"Chairman and CEO, Adtalem Global Education. Mother to the most amazing children.",True
DISNEY (WALT) CO,WaltDisneyCo,The latest news and updates from The Walt Disney Company.,True
DISNEY (WALT) CO,WDWToday,"Walt Disney World Theme Parks are now open, however this account is not currently being monitored. For updates, please visit https://t.co/UPWmPgmsmf.",True
DISNEY (WALT) CO,WDWGuestService,"Walt Disney World Theme Parks are now open, however this account is not currently being monitored. For updates, please visit https://t.co/UPWmPgmsmf.",True
DISNEY (WALT) CO,DisneyCareers,The official page of The Walt Disney Company jobs. Want to be a part of the Disney team? Visit https://t.co/ZEfhuVvzlj to learn more!,True
DISNEY (WALT) CO,Miramax,The official Twitter for Miramax. Visit our website for exclusive content on your favorite films and TV shows past and present. https://t.co/Pzao6uQnp3,True
DISNEY (WALT) CO,HollywoodRecs,Hollywood Records official profile. The latest news on all our artists. https://t.co/UUvITfrBww,True
DISNEY (WALT) CO,LouMongello,"Disney Author, Host, Speaker, Entrepreneur | Host of WDW Radio: Your Walt Disney World Information Station - https://t.co/WU4PwhqHnv ✨ https://t.co/lMVAWZEVwq",True
DUPONT DE NEMOURS INC,DuPont_News,"For over 200 years DuPont has been innovating around you, reinventing itself to bring technology-driven solutions to customers worldwide. Invent a better now.",True
OMNICOM GROUP,Omnicom,Global leader in marketing communications and innovations for the connected age. Home to the industry’s most creative minds and top analytical talent.,True
OMNICOM GROUP,MikeCooper_33,Group CEO for Omnicom Media Group EMEA and APAC. Also very proud to be Trustee and Deputy Chairman Alzheimer's Research UK.,True
OMNICOM GROUP,mdenardis,"Entrepreneur, investor, board director and advisor. Former Executive Vice-Chairman Omnicom Media Group and CEO OMD Worldwide",True
DU PONT (E I) DE NEMOURS,DuPont_News,"For over 200 years DuPont has been innovating around you, reinventing itself to bring technology-driven solutions to customers worldwide. Invent a better now.",True
EASTMAN KODAK CO,Kodak,Enabling creativity since 1880. ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀,True
EMERSON ELECTRIC CO,Emerson_News,"Where technology and engineering come together to create global solutions, driven without compromise for a world in action.
https://t.co/A6haet3XRx",True
EMERSON ELECTRIC CO,EmersonComRes,"Comfortable, controllable indoor environments. Fresh, safe food throughout the cold chain. Energy-efficient technology to build sustainable infrastructures.",True
EQUIFAX INC,Equifax,"Equifax is a global information solutions company that uses unique data, analytics, tech & expertise to power organizations and individuals around the world.",True
EXXON MOBIL CORP,exxonmobil,The official Twitter page of Exxon Mobil Corporation. Continue the conversation at https://t.co/Kjb8fyf88V. Direct all inquiries to http://t.co/INDDcFZK8u.,True
NEXTERA ENERGY INC,nexteraenergy,"Leading clean energy company ranked No. 1 in the electric and gas utilities industry on Fortune’s 2019 list of “World’s Most Admired Companies.""",True
NEXTERA ENERGY INC,NextEraEnergyR,"NextEra Energy Resources is a leading clean energy company operating in 37 states & Canada. We are a subsidiary of NextEra Energy, Inc.based in Juno Beach, Fla.",True
FAMILY DOLLAR STORES,myfamilydollar,"Welcome to the official Twitter account of Family Dollar, your home for savings on the products you love…all in 280 characters or less!",True
MACY'S INC,Macys,Must-have fashion & exciting events. Share your fave finds with #macyslove. Need help? DM us.,True
FIFTH THIRD BANCORP,FifthThird,"We’re here to support your banking needs. Visit https://t.co/GZrBD5oIqE for tips and support. Fifth Third Bank, N.A. Member FDIC.",True
U S BANCORP,usbank,"Official account of U.S. Bank NA. Member FDIC. Equal Housing Lender. For banking help, tweet @askusbank.",True
FORD MOTOR CO,Ford,We build the most beloved truck on the road. The most iconic American sports car. And the SUV most people think of when they think of an SUV.,True
FORD MOTOR CO,sundeep,"vp @Ford X, co-founder Autonomic more: https://t.co/YAiyXPpGg5",True
FORD MOTOR CO,FordFund,Ford Fund - the philanthropic arm of @ford - helps strengthen communities and make people's lives better. Privacy Policy - https://t.co/j3I2K068DU.,True
FOREST LABORATORIES,meury_bill,Chief Commercial Officer @allergan,True
FRANKLIN RESOURCES INC,MartinCurrieIM,"We are active equity specialists and a Specialist Investment Manager of Franklin Resources, Inc.  Important Information https://t.co/Hs5NWFtpIY",True
TEGNA INC,TEGNA,"Our purpose is to serve the greater good of our communities – through empowering stories, impactful investigations and innovative marketing services.",True
TEGNA INC,LarryAudas,"President & GM WFMY News 2/CBS Greensboro, NC & WZDX/FOX54 Huntsville, AL TEGNA, Inc.",True
GAP INC,GapInc,Sharing American style around the globe. Learn how we're doing more than selling clothes by visiting our site below.,True
GAP INC,Gap,Optimistic American style.,True
GAP INC,Gap_JP,"Gap公式Twitterアカウント
公式オンラインストア⇒ https://t.co/pgIYFIqUiX
GapKids/babyGap アカウント⇒ @GapKids_JP
サービス／商品についてのお問い合わせ⇒ https://t.co/mTgE4krHm1
Gap採用情報⇒ https://t.co/v6nE7RDVEr",True
GENERAL ELECTRIC CO,generalelectric,"Every minute of every day, GE rises to the challenge of building a world that works.",True
GENERAL ELECTRIC CO,GE_Turkiye,"Dünyanın öncü dijital endüstriyel şirketi olarak endüstrileri; teknolojilerimiz, uzmanlığımız ve müşterilerimiz ile daha ileri taşıyoruz! #DijitalSanayi",True
GENERAL MILLS INC,GeneralMills,"News/information from General Mills. Learn more at https://t.co/K7ale2Yhbq, https://t.co/brNL7A0kV1 and https://t.co/Q8ZoS4kQLA",True
GENERAL MOTORS CO,GM,"We’re on a journey to create a world with zero crashes, zero emissions and zero congestion. See how we’ll get there. Privacy Statement: https://t.co/u3I3TbTZSR",True
GENERAL MOTORS CO,GMFleet,We're dedicated to the vehicle needs of fleets & government organizations. Follow us to stay up to date - one tweet at a time. https://t.co/9Z67RU4Eim,True
GENERAL MOTORS CO,MFG_GM,"Committed to #USManufacturing, we share @GM #mfg news, spotlight employees, new tech & trends. Privacy Statement: https://t.co/TfUQ2gZyr5",True
GENERAL MOTORS CO,vauxhall,"Official Vauxhall Twitter. A British brand since 1903. Share your photos using #MyVauxhall
See our privacy policy https://t.co/oIEDwtFdL4",True
GENERAL MOTORS CO,GMBPress,Diretoria de Comunicação Social da General Motors do Brasil,True
GENERAL MOTORS CO,GeneralMotorsMx,"Somos una armadora de autos que crea experiencias extraordinarias que la gente ama a través de tecnología, innovación y sostenibilidad. #GeneralMotors",True
GENERAL MOTORS CO,chevrolet,Talking Chevrolet one tweet at a time. #FindNewRoads Privacy Statement - https://t.co/Yy47LSihW6,True
GENERAL MOTORS CO,ChevroletArg,Twitter oficial de Chevrolet Argentina. Políticas de Privacidad de GM: https://t.co/VBPg9ytfOD,True
GENERAL MOTORS CO,ChevyTrucks,The most dependable and longest lasting source for all things #ChevyTrucks. (https://t.co/Xajt7RwF4C),True
GENERAL MOTORS CO,Chevrolet_RUS,Chevrolet – это ведущий международный бренд компании General Motors.  Положение о защите персональных данных: https://t.co/XRYtta5Kaj,True
GENUINE PARTS CO,GMParts_ACDelco,"#GMGenuineParts and #ACDelco—the true Original Equipment parts brands for @GeneralMotors.

Privacy Statement — https://t.co/QTxBd42iCa",True
GOODYEAR TIRE & RUBBER CO,goodyear,The official Goodyear Tire & Rubber Co Twitter account affiliated with @GoodyearBlimp and @GoodyearRacing. Wishing you all a #Goodyear.,True
GRAINGER (W W) INC,grainger,Grainger is here for you—the hard-working people who keep facilities running and workers working day and night.,True
HALLIBURTON CO,Halliburton,One of the world's largest providers of products and services to the energy industry.,True
HASBRO INC,Hasbro,Creating the world's best play and entertainment experiences.,True
HASBRO INC,atari,"The Official Atari Twitter!👾 

—Atari PR—
atari@uberstrategist.com",True
KRAFT HEINZ CO,KraftHeinzCo,News & information from #HereAtKraftHeinz,True
HERSHEY CO,AskHershey,Bringing Goodness to the World. Ask us questions about The Hershey Company and our portfolio of products. http://t.co/PirqdYjZ1w,True
HERSHEY CO,Hersheypark,Happiness Is Best When Shared. #HersheyparkHappy https://t.co/v8cy54Jkep,True
HP INC,HP,"Engineering experiences that amaze. We create technology with a purpose: to make life better for everyone, everywhere. #KeepReinventing.",True
HP INC,palm,"Palm is a super small smartphone that has 2 cameras, the full Google Play Store, WiFi & more! Palm’s mission is to keep people connected, not consumed by tech.",True
HP INC,EnriqueJLores,"President and CEO, HP Inc",True
HP INC,HP_PC_JP,"日本HP公式アカウントです。
私たちは世界中の人々の生活をテクノロジーでより豊かなものにしていくことを目指し、日々驚きの体験を提供し続けます。#KeepReinventing

製品サポート@HPSupportJPN
Gaming PC『OMEN』@OMENbyHP_jp

※弊社運用アカウントは公式を含む上記3つです",True
HP INC,SUNRISE_web,サンライズのニュースや更新情報を中心に、作品のことやイベントについてHP担当がつぶやきます。,True
HILTON WORLDWIDE HOLDINGS,HiltonHotels,"Each property uniquely reflects its destination, combining local influences with out-of-this-world service for a truly memorable stay.",True
HILTON WORLDWIDE HOLDINGS,HiltonHonors,"Hilton Honors members get immediate benefits like free standard Wi-Fi, digital check in and more when they book direct. Download our app to get started.",True
HILTON WORLDWIDE HOLDINGS,HiltonNewsroom,An official newsroom account for Hilton – a global hospitality company filling the earth with light & warmth since 1919.,True
HOME DEPOT INC,HomeDepot,Helping doers in their home improvement projects. Visit @HDCares for Customer Care support.,True
HOME DEPOT INC,RONAinc,Produits et conseils d’experts pour tous vos projets de rénovation depuis 1939. || Products and expert advice for all your home improvement projects since 1939.,True
HUNTINGTON BANCSHARES,Huntington_Bank,Official Twitter feed for Huntington Bank. Member FDIC. https://t.co/wRyH3jl2s0,True
ITT INC,TheHartford,Underwriting human achievement for over two hundred years. Follow us on Instagram: https://t.co/fpIABr62m2,True
JOHNSON & JOHNSON,JNJNews,"At Johnson & Johnson, we blend heart, science and ingenuity to profoundly change the trajectory of health for humanity. Follow us to learn more and connect.",True
JOHNSON & JOHNSON,SenRonJohnson,Proud to serve Wisconsin in U.S. Senate. Chair of Homeland Security and Governmental Affairs Committee & Subcommittee on Europe & Regional Security Cooperation.,True
JOHNSON & JOHNSON,MagicJohnson,The official Twitter account of Earvin “Magic” Johnson!,True
JOHNSON & JOHNSON,JNJCares,Thanks for visiting! The @JNJCares Twitter page is no longer active. Please stop by @JNJNews to stay up-to-date with the latest news from Johnson & Johnson.,True
JOHNSON & JOHNSON,xoBetseyJohnson,Official Twitter for Betsey Johnson. I tweet!,True
JOHNSON & JOHNSON,GovGaryJohnson,"Official Twitter of Governor Gary Johnson, former two-term Governor of New Mexico, and former Presidential nominee of @LPNational.",True
JOHNSON & JOHNSON,ShawnJohnson,wife. mama. dog mama.,True
JOHNSON & JOHNSON,TheRock,CEO Seven Bucks Companies,True
JOHNSON & JOHNSON,JimmieJohnson,2-Time Dad | Husband | Racer,True
JOHNSON & JOHNSON,rianjohnson,Gentleman sleuth,True
JOHNSON & JOHNSON,jackjohnson,"The Only Official Twitter for Jack Johnson. Jack does not post or read this account, but his management does on his behalf. Follow for news updates and pictures",True
JOHNSON & JOHNSON,DJohnsonPGA,PGA TOUR | Official,True
JOHNSON & JOHNSON,BorisJohnson,Prime Minister of the United Kingdom and @Conservatives leader. Member of Parliament for Uxbridge and South Ruislip.,True
JOHNSON & JOHNSON,MightyMouse,Current ONE Championship athlete. Former 11 time defending MMA Flyweight Champion. Ambassador for @CureRareDisease,True
JOHNSON & JOHNSON,ochocinco,"Famous for grammatical corrections, football, fashion & FIFA. Solving problems with love for EVERYBODY. Ambassador for @ea @nfl I’m cheap as hell too",True
JOHNSON & JOHNSON,RepHankJohnson,"CBC Secretary, Chairman of the Courts, IP & Internet Subcommittee; Champion for working people",True
JOHNSON & JOHNSON,ChrisJohnson28,"THE REAL CJ
A REAL 2K THANG
IG: CHRISJOHNSONTWO8",True
JOHNSON & JOHNSON,JimmyJohnson,"Former coach and two-time national champion. Two-time Super Bowl winner and an avid fisherman. Pro,College & Broadcasting HOF",True
JOHNSON & JOHNSON,LBJLibrary,"36th #POTUS Lyndon B. Johnson. The LBJ Presidential Library is currently closed to the public due to COVID-19. For now, join us on the new #LBJpodcast. 🙏",True
JOHNSON & JOHNSON,KingMe_DJ1,"MU alum from Raleigh,NC.......blessed to do what I love!!",True
KANSAS CITY SOUTHERN,ATFKansasCity,"Official account for ATF's Kansas City Field Division, covering the states of MO, KS, NE, IA and Southern IL https://t.co/PZjyNIcqhj",True
KANSAS CITY SOUTHERN,ETeaparty25,"Player development for Chicago White Sox. Former Georgia Southern Eagle, Kansas City Royal, and Tampa Bay Ray.",True
KELLOGG CO,KelloggSchool,Providing business leaders with the research & expertise needed to drive growth. Sign up for our Insight email: https://t.co/Hz3CUaeQa0,True
KELLOGG CO,KelloggCompany,Corporate news from our global HQ in the U.S. Product question? Visit: http://t.co/sKcVDx76xL,True
