Company,Handle,Twitter_Descr,verified
el paso,UTEP,UTEP is a comprehensive public research university that is increasing access to excellent higher education. https://t.co/a67SA30X7r,True
el paso,FBIElPaso,"Official Twitter for FBI El Paso. Do not report tips here. Submit tips on terrorism or federal crimes at https://t.co/bvLnLbg98y. For emergencies, dial 911.",True
el paso,EPCPublicHealth,"Based in Colorado Springs, CO, El Paso County Public Health promotes and protects public health and the environment.",True
el paso,600espnelpaso,"Get your updates from 600 ESPN El Paso, home of the El Paso Chihuahuas & flagship station for UTEP Athletics.",True
emerson electric,Emerson_News,"Where technology and engineering come together to create global solutions, driven without compromise for a world in action.
https://t.co/A6haet3XRx",True
emerson electric,EmersonComRes,"Comfortable, controllable indoor environments. Fresh, safe food throughout the cold chain. Energy-efficient technology to build sustainable infrastructures.",True
atmos energy,atmosenergy,"This account is not monitored 24/7. If you smell natural gas or suspect gas leak, leave the area immediately and call our 24/7 emergency line: 866.322.8667.",True
equifax,Equifax,"Equifax is a global information solutions company that uses unique data, analytics, tech & expertise to power organizations and individuals around the world.",True
equifax,EquifaxInsights,"Equifax is a global information solutions company that uses unique data, analytics, tech & expertise to power organizations around the world. #InsightsThatDrive",True
equifax,AskEquifax,Equifax Consumer Care.  We’re here M-F from 8am-12am ET and on the weekends from 12N-8pm ET.,True
exxon mobil,exxonmobil,The official Twitter page of Exxon Mobil Corporation. Continue the conversation at https://t.co/Kjb8fyf88V. Direct all inquiries to http://t.co/INDDcFZK8u.,True
exxon mobil,ExxonMobil_EU,"The official Twitter page of ExxonMobil #EU. Retweets, mentions and links are not endorsements.",True
exxon mobil,exxonmobil_aus,"The official Twitter page of ExxonMobil Australia. 
Follow us on Instagram: https://t.co/FolWpEPnN8",True
exxon mobil,ExxonMobil_UK,"The official Twitter page of ExxonMobil in the UK. Retweets, mentions and links are not endorsements.",True
exxon mobil,exxonmobil_sg,The official Twitter page of ExxonMobil in Singapore,True
exxon mobil,ExxonMobil_PNG,"The official Twitter page of ExxonMobil affiliate ExxonMobil PNG Limited. Retweets, mentions and links are not endorsements.",True
exxon mobil,exxonmobilbmt,Working along the banks of the Neches River since 1903. Generating 1 out of 7 jobs in the #BeaumontStrong area today.,True
exxon mobil,XOM_Chemical,"We provide the building blocks for products that make life better. For direct inquiries, please go to https://t.co/WYvBCh04Pm
RT ≠ Endorsements",True
exxon mobil,exxonmobil_ind,The official Twitter page of ExxonMobil in India. Retweets are not endorsements.,True
exxon mobil,XOM_NatGas,"The official Twitter page of ExxonMobil LNG. Retweets, mentions and links are not endorsements.",True
exxon mobil,XOMFoundation,"The official Twitter page for the ExxonMobil Foundation, the primary philanthropic arm of the Exxon Mobil Corporation.",True
exxon mobil,exxonmobil_th,The official Twitter page of Esso (Thailand) Public Company Limited and ExxonMobil affiliates in Thailand.,True
exxon mobil,ExxonMobil_ID,The official Twitter page of ExxonMobil Affiliates in Indonesia. Direct all inquiries to http://t.co/GLsQzcrKpD,True
exxon mobil,ExxonMobil_GER,Der offizielle ExxonMobil Twitter Account in Deutschland liefert Ihnen Informationen & Hintergründe zu Energiethemen. #Erdgas #Erdöl #Energiewende #Mobilität,True
nextera energy,NextEraEnergyR,"NextEra Energy Resources is a leading clean energy company operating in 37 states & Canada. We are a subsidiary of NextEra Energy, Inc.based in Juno Beach, Fla.",True
nextera energy,nexteraenergy,"Leading clean energy company ranked No. 1 in the electric and gas utilities industry on Fortune’s 2019 list of “World’s Most Admired Companies.""",True
nextera energy,pmusser,"VP Government Affairs @NextEra Energy. Former @Boeing SVP, CEO @teamimge Proud Dad, retired politico, avid golfer #YOLO.",True
family dollar stores,myfamilydollar,"Welcome to the official Twitter account of Family Dollar, your home for savings on the products you love…all in 280 characters or less!",True
fedex,FedEx,Where now meets next. Looking for help? Tweet @FedExHelp.,True
fedex,FedExHelp,Welcome to the official U.S. FedEx Customer Service page. Follow @FedEx for updates.,True
fedex,FedExHelpEU,Welcome to the official FedEx Customer Service account for Europe. We are here for you Mon.– Fri. 09:00-18.00 UK.,True
fedex,FedExEurope,Official updates and the latest information about FedEx Express in Europe. For customer service: @FedExHelpEU,True
fedex,FedExOffice,"FedEx Office has more than 2,200 locations nationwide providing printing, shipping, signs & graphics and more.  For more info go to https://t.co/787ugRw4TM.",True
fedex,FedExCanada,@FedExCanadaHelp - FedEx Canada Customer Support @FedExCanadaHelp - Service à la clientèle de FedEx,True
fedex,FedExPolicy,"FedEx views on important topics including trade, transportation, technology and innovation, energy security, and many others.",True
fedex,FedExPilots,"News, union updates, and information from the FedEx Master Executive Council, member of @WeAreALPA",True
macy's,Macys,Must-have fashion & exciting events. Share your fave finds with #macyslove. Need help? DM us.,True
macy's,macysnews,"Follow Macy’s News to be in the know on the latest Macy’s brand news announcements, media materials and more.",True
macy's,MacysBackstage,"Off price. On trend. Arriving daily.

Show us your latest finds from Macy’s Backstage the Outlet Store by tagging #MacysBackstage!",True
macy's,MacysTourism,Macy's is a top destination for domestic & international travelers. Join us for events & savings at America's Favorite Department Store!,True
macy's,macycwilliams,Senior Editor of @POPSUGAR Shop. Buys too many shoes. Owns the Bay Area’s most evil cat. These tweets are my own. Instagram: macycate,True
fifth third bancorp,FifthThird,"We’re here to support your banking needs. Visit https://t.co/GZrBD5oIqE for tips and support. Fifth Third Bank, N.A. Member FDIC.",True
regions financial,askRegions,"We will respond to tweets Monday-Friday between 8am-5pm CT, and Saturday 8am-12pm.",True
m & t bank,MandT_Bank,"The official channel for news, community updates and helpful information from M&T Bank. For customer support Mon-Fri 8am-4:30pm EST, tweet @MandT_Help.",True
m & t bank,CentralBank_TR,Official Twitter account of the Central Bank of the Republic of Turkey,True
m & t bank,MandSBank,"We’re here to help 7 days a week, 8am-8pm, if you have any queries please tweet, but don’t include any of your personal or account details.",True
m & t bank,RHBGroup,"We're here to assist you on any queries you have on RHB. Mon - Fri : 9.00a.m - 6.00p.m. https://t.co/FD9DrWuHqK 
(RHB Bank & RHB Islamic Bank are members of PIDM)",True
m & t bank,tymebankza,We're a new kind of bank that's digitally smart and staying apart. Bank from home and stay informed and up to date on COVID-19 via @GovernmentZA @HealthZA,True
m & t bank,Merkez_Bankasi,Türkiye Cumhuriyet Merkez Bankasının temel amacı fiyat istikrarını sağlamaktır.,True
m & t bank,Banxico,Esta es la cuenta institucional del #BancodeMéxico en Twitter. Para mayor información consulte la página https://t.co/vHjsfrIKCg,True
m & t bank,_Ekstraklasa_,"Oficjalne konto rozgrywek PKO Bank Polski Ekstraklasa.  Nasze social media wspiera marka OSHEE. 

📸 https://t.co/Z0htMCzquG",True
u s bancorp,usbank,"Official account of U.S. Bank NA. Member FDIC. Equal Housing Lender. For banking help, tweet @askusbank.",True
ford motor,Ford,We build the most beloved truck on the road. The most iconic American sports car. And the SUV most people think of when they think of an SUV.,True
ford motor,FordAustralia,Stay in touch with Ford Australia.,True
ford motor,sundeep,"vp @Ford X, co-founder Autonomic more: https://t.co/YAiyXPpGg5",True
ford motor,FordCanada,"We want to share, listen, learn and improve your auto experience. CMs: Anson ^AD, Arnolder ^AL, Nik ^NT, Sev ^SB and @FordServiceCA",True
ford motor,FordServiceCA,The official Twitter handle for @FordCanada Customer Care,True
ford motor,FordFund,Ford Fund - the philanthropic arm of @ford - helps strengthen communities and make people's lives better. Privacy Policy - https://t.co/j3I2K068DU.,True
ford motor,FordPhilippines,This is the official Twitter account of Ford Philippines. Connect with us!,True
ford motor,FordIreland,"The Official Page of Ford Ireland. 
The latest Ford Ireland news, views and product info.",True
ford motor,mtruby,"VP of Communications for Ford Motor Company. Formerly head of Comms for Ford Asia Pacific, Ford EMEA, and reporter and editor for The Detroit News.",True
ford motor,FordSpain,"¡Diseñamos el futuro para hacerte llegar aún más lejos! 🚗 
¿Recorremos juntos el camino? 
Ford - Acercando El Mañana  🔋 ⚡",True
ford motor,fordvenezuela,"Cuenta Oficial de Ford Motor de Venezuela S.A. En 1962 comenzamos el ensamblaje de vehículos en Venezuela, en la planta ubicada en Valencia.",True
franklin resources,MartinCurrieIM,"We are active equity specialists and a Specialist Investment Manager of Franklin Resources, Inc.  Important Information https://t.co/Hs5NWFtpIY",True
tegna,TEGNA,"Our purpose is to serve the greater good of our communities – through empowering stories, impactful investigations and innovative marketing services.",True
tegna,BrendanKeefe,"Chief Investigator at Atlanta's WXIA 11Alive (NBC - TEGNA). Honored with the Peabody, duPont, 5 National Murrows, and 105 Emmy awards. Tips: bkeefe@11alive.com",True
tegna,ellencrooke,News Executive transforming Journalism in the digital age & Mom of two daughters! @TEGNA V.P. News TEGNA,True
tegna,12News,"At 12 News, we listen, we seek, and we solve for the people of #Arizona. News tip? connect@12news.com or call/text 602-444-1212. A TEGNA company.",True
tegna,wusa9,"Your stop for breaking news, weather & traffic in DC, Maryland & Virginia. Story ideas? Email newstips@wusa9.com. (@CBS, @TEGNA)",True
tegna,adamostrow,"Chief Digital Officer at @TEGNA ... lover of @kendallostrow, media, tech, entrepreneurship and sport.",True
tegna,10TampaBay,"10 Tampa Bay (CBS, TEGNA) covers news in Tampa, St. Petersburg, Clearwater & Sarasota.  News tips? 📱 727-577-1010, 📧 desk@wtsp.com or reply using @10TampaBay",True
tegna,thecwsandiego,"San Diego's CW, a TEGNA station",True
tegna,KellyWTSP,"Dir. of Content @10TampaBay @TEGNA Priors: @10TV @CNN @Fox5DC Mom to 2, @UFSocial Masters Degree ❤️ @OSUBuckeye & @Yankees fan, @KyWesleyan alum Guac expert",True
tegna,DavidSchechter,I get to the bottom of stuff. Journalist/Host of Verify from @WFAA and @TEGNA. #VerifyThis @VRFYtv,True
tegna,13NewsNow,13News Now is part of @TEGNA and is the ABC affiliate for southeastern Virginia and northeastern North Carolina. Telling the Stories of Now.,True
tegna,BillBishopKHOU,"Managing Editor, KHOU-TV, 11 News, Houston, Texas, TEGNA",True
tegna,KREM2,"Covers the latest news, weather and sports around the Inland Northwest. Based in #Spokane, Wash. Owned by @Tegna.",True
tegna,natebenson,"Journalist @WGRZ (@tegna), nathan.benson @ https://t.co/yh0W4G8Tnm. Heenan School of Journalism. Signal: 7164744700 • 41st on the 40 Under 40 list, probably.",True
tegna,BrandonRittiman,Dad. Husband. Investigative reporter / special projects for @ABC10. Creator/writer of the Emmy-winning docuseries FIRE-POWER-MONEY. (@TEGNA),True
tegna,jennijenni,News Partnerships ANZ @Facebook ✏ SYD ➪ NYC ➪ SYD. Formerly: @mashable @tegna @biaus @gizmodoau @kotakuau @lifehackerau @mashableau @newscomauHQ @yahoo,True
tegna,Mullin_Around,"@TEGNA Regional Digital Director +  @KTVB Digital Director. Boise native, back in Idaho after 10 years by the Bay. Alum: @SFChronicle's @SFGate, @SanRafaelPatch",True
tegna,13TimPandajis,"@13NewsNow CBM Meteorologist in Norfolk, VA. Part of @TEGNA. #tropics #hurricane #hrva #Weather #NorVA",True
tegna,13MikeGooding,"Senior military and political reporter, since 1985 @13NewsNow, part of @TEGNA",True
gap,Gap,Optimistic American style.,True
gap,MindingGapFilm,"Academy-Award nominee. Directed by @bingliu89, produced by @dmquon. A @kartemquin, @POVdocs, @itvsindies co-production. @hulu original. @criterion 📀.",True
gap,DelWaterGapNPS,"Delaware Water Gap, a part of the National Park System, preserves natural & historic areas along the Delaware River less than 2 hours from NYC & Philadelphia.",True
gap,StopgapOttawa,The official account of StopGap Ottawa. We build wooden ramps for businesses with 1-step entrances. info@stopgapottawa.ca #SeeTheGapStopTheGap #Accessibility,True
gap,GapInc,Sharing American style around the globe. Learn how we're doing more than selling clothes by visiting our site below.,True
gap,GapKids,"Playful, proud, clever, and cool. The official @GapKids Twitter. #GapToSchool",True
gap,UKGap,Optimistic American style. #GapDenim,True
gap,GapFactory,Share your favorite finds by using #GapFactory.,True
gap,StopGapRamp,StopGap is creating a world where every person can access every space through fun and engaging community projects that raise awareness and remove barriers.,True
gap,RespectThe__GAP,"Senior Celebrity & Pop Culture Reporter, Writer @BuzzFeed || Entertainment Journalist || A Real Down to Mars Girl 👽🤘🏾",True
general dynamics,generaldynamics,"Official account for the General Dynamics Corporation.

NYSE: GD",True
general dynamics,GDMS,"We develop mission critical solutions for those that lead, serve and protect the world we live in. #PlatformsSmarter | We're hiring, follow: @GDMS_Careers",True
general dynamics,GD_LandSystems,"We lead the way in providing a full spectrum of land and amphibious combat systems, subsystems and components for customers worldwide. Innovation is in our DNA.",True
general dynamics,GDIT,"The official account for General Dynamics Information Technology — serving the mission for over 50 years, by ensuring today is secure and tomorrow is smarter.",True
general dynamics,GD_OTS,"General Dynamics Ordnance and Tactical Systems is a producer of munitions, weapons, & tactical systems across the entire Sea–Air–Land battle spectrum.",True
general dynamics,gduknews,Find out the latest news from General Dynamics UK...,True
general dynamics,GDMS_C,Get the latest news from General Dynamics Mission Systems–Canada.,True
general dynamics,GDElectricBoat,"General Dynamics Electric Boat, a recognized leader in the design, construction and lifecycle support of submarines for the U.S. Navy.",True
general dynamics,gdukrecruitment,Find out the latest roles currently available at General Dynamics UK. Search #GDUKJobs,True
general electric,generalelectric,"Every minute of every day, GE rises to the challenge of building a world that works.",True
general electric,GEpublicaffairs,"Home of news, updates, and stories on critical issues affecting GE, employees, suppliers, and supporters.",True
general electric,GDElectricBoat,"General Dynamics Electric Boat, a recognized leader in the design, construction and lifecycle support of submarines for the U.S. Navy.",True
general electric,tgryta,"Wall Street Journal reporter. Co-author of ""Lights Out: Pride, Delusion, and the Fall of General Electric” with @TMannWSJ",True
general electric,GELighting,"GE Lighting, a Savant Company is now stronger and brighter than ever. 

GE and C by GE are trademarks of General Electric Company. Used under trademark license.",True
general electric,GE_Turkiye,"Dünyanın öncü dijital endüstriyel şirketi olarak endüstrileri; teknolojilerimiz, uzmanlığımız ve müşterilerimiz ile daha ileri taşıyoruz! #DijitalSanayi",True
general electric,GEAustralia,The official Twitter feed from General Electric in Australia.,True
general electric,GEAviation,"GE Aviation provides jet and turboprop engines, integrated systems and services for commercial, military and business & general aviation aircraft.",True
general electric,larryculpjr,"Chairman & CEO of @GeneralElectric, Former CEO and President of Danaher Corporation.",True
general electric,GE_France,"GE est le groupe digital industriel mondial. Avec 13000 collaborateurs en France, GE parle le langage de l'industrie. Rejoignez la discussion !",True
general electric,AECC_Aberdeen,Aberdeen Exhibition & Conference Centre - the North of Scotland’s largest conference and entertainment venue and home to the BHGE Arena.,True
general mills,GeneralMills,"News/information from General Mills. Learn more at https://t.co/K7ale2Yhbq, https://t.co/brNL7A0kV1 and https://t.co/Q8ZoS4kQLA",True
general mills,GenMillsCereal,Got Milk? 🥛🥣,True
general mills,GenMillsCareers,Welcome to General Mills Careers on Twitter! Let's talk!,True
general motors,GM,"We’re on a journey to create a world with zero crashes, zero emissions and zero congestion. See how we’ll get there. Privacy Statement: https://t.co/u3I3TbTZSR",True
general motors,GMBPress,Diretoria de Comunicação Social da General Motors do Brasil,True
general motors,MFG_GM,"Committed to #USManufacturing, we share @GM #mfg news, spotlight employees, new tech & trends. Privacy Statement: https://t.co/TfUQ2gZyr5",True
general motors,GMFleet,We're dedicated to the vehicle needs of fleets & government organizations. Follow us to stay up to date - one tweet at a time. https://t.co/9Z67RU4Eim,True
general motors,vauxhall,"Official Vauxhall Twitter. A British brand since 1903. Share your photos using #MyVauxhall
See our privacy policy https://t.co/oIEDwtFdL4",True
general motors,GMC,In life. In work. In everything we do. We are Pros. We are Professional Grade. #LikeAPro,True
general motors,GeneralMotorsMx,"Somos una armadora de autos que crea experiencias extraordinarias que la gente ama a través de tecnología, innovación y sostenibilidad. #GeneralMotors",True
general motors,jlareauan,"I am a reporter at the Detroit Free Press and USA Today covering General Motors and the auto industry beat. I am located in Detroit, Mich.",True
general motors,ChevroletArg,Twitter oficial de Chevrolet Argentina. Políticas de Privacidad de GM: https://t.co/VBPg9ytfOD,True
general motors,GMArgPress,"Estamos avanzando hacia un camino de seguridad y sustentabilidad para la movilidad del futuro con Cero Colisiones, Cero Emisiones y Cero Congestionamientos.",True
general motors,chevrolet,Talking Chevrolet one tweet at a time. #FindNewRoads Privacy Statement - https://t.co/Yy47LSihW6,True
genuine parts,GMParts_ACDelco,"#GMGenuineParts and #ACDelco—the true Original Equipment parts brands for @GeneralMotors.

Privacy Statement — https://t.co/QTxBd42iCa",True
genuine parts,NAPAKnowHow,#NAPAKnowHow for everyone in 280 characters or less.,True
genuine parts,baxiboilers,"High efficiency #boilers manufactured in UK, with national #aftersales from Baxi Customer Support & Baxi Genuine Parts Tel 0330 678 0917 Mon-Fri 8-6 Sat 8.30-2",True
goodyear tire & rubber,goodyear,The official Goodyear Tire & Rubber Co Twitter account affiliated with @GoodyearBlimp and @GoodyearRacing. Wishing you all a #Goodyear.,True
grainger (w w),grainger,Grainger is here for you—the hard-working people who keep facilities running and workers working day and night.,True
halliburton,Halliburton,One of the world's largest providers of products and services to the energy industry.,True
halliburton,suzhalliburton,"Sports, pop-culture writer. Obsessed with football + breaking news + weather apps. Adore my (dog) Trolls Dax and Penelope.",True
hasbro,Hasbro,Creating the world's best play and entertainment experiences.,True
hasbro,TheBillyMartin,"Guitar in @GoodCharlotte/ Producer/ Freelance artist (Nickelodeon, Marvel, Hasbro, IDW) #ThunderUp",True
kraft heinz,KraftHeinzCo,News & information from #HereAtKraftHeinz,True
kraft heinz,khpantryday,October 16 is Kraft Heinz Pantry Day. Buy any participating Kraft Heinz products in-store and we'll match with a donation to Food Banks Canada.,True
kraft heinz,myfoodandfamily,Bringing families and friends together around the dinner table for the moments that matter. #myfoodandfamily,True
kraft heinz,KraftHeinzCan,The official account for Kraft Heinz Canada.,True
kraft heinz,HeinzUK,"If you have any questions, why not Tweet one of our UK Careline team members or call us on 0800 528 5757. Here to help 9am - 5pm weekdays.",True
kraft heinz,heinzmayo,Heinz [Seriously] Good Mayo goes with the tastiest foods. That’s why we only follow people with the tastiest names.,True
hercules,DCobb27,"If God Is For Me, Who Can Be Against Me.",True
hercules,herculezg,"LA born, Las Vegas raised. Life aficionado. Views are my own. 📷Herculezg @AhoraONuncaESPN @ESPN @ESPNDeportes🇺🇸🇲🇽 herculez.gomez@espn.com ex USMNT",True
hercules,HerculesLA,NEWS & UPDATES ONLY enjoy the information,True
hercules,herculesuluao50,,True
hercules,shejhercules,@99JAMZ • #TheGrind #TurnUpPartnaz Mon-Fri 7pm-12am • #9oClockShutdownMix • IG: @shejhercules • Email: djhercules15@gmail.com,True
hercules,cfhercules,Bienvenidos al Twitter oficial del Hércules de Alicante C.F. Síguenos también en Facebook https://t.co/AGcSuErNmP,True
hershey,Hersheys,We’re here to bring people together through the power of chocolate. #heartwarmingtheworld,True
hershey,BarbaraHershey8,actor,True
hershey,AskHershey,Bringing Goodness to the World. Ask us questions about The Hershey Company and our portfolio of products. http://t.co/PirqdYjZ1w,True
hershey,HersheyCompany,Making more moments of goodness since 1894. Have a question about our company or portfolio of products? @AskHershey can help.,True
hershey,TheHersheyBears,Official Twitter of the 11-time Calder Cup Champions. Proud affiliate of the @Capitals. Our 2020-21 season is presented by @PennStHershey. #HBH,True
hershey,SenatorHershey,"Maryland State Senator representing District 36 - Caroline, Cecil, Kent and Queen Anne's Counties. Senate Minority Whip.",True
hershey,BrentHQ,"GM of Content @BaseballHQ. Fingerprints also on #BF21, #MLBA21, First Pitch Forums. Words on #fantasybaseball, prospects, some #Phillies talk.",True
hp,HP,"Engineering experiences that amaze. We create technology with a purpose: to make life better for everyone, everywhere. #KeepReinventing.",True
hp,rollsroycecars,Welcome to the official home of Rolls-Royce Motor Cars on Twitter.,True
hp,attbyronnelson,PGA TOUR Tournament & DFW social event of the year. Raised $163 million for @Momentous.,True
hp,rollsroycemcna,Rolls-Royce Motor Cars Americas Official Twitter,True
hp,SAPCenter,Premiere Sports and Entertainment venue in Northern California. Home to the @SanJoseSharks and @SJBarracuda,True
hp,palm,"Palm is a super small smartphone that has 2 cameras, the full Google Play Store, WiFi & more! Palm’s mission is to keep people connected, not consumed by tech.",True
hp,DXCTechnology,We help our customers across the entire enterprise tech stack with differentiated industry solutions. Connect with our award-winning teams across the world.,True
hp,EnriqueJLores,"President and CEO, HP Inc",True
hp,HPSupport,HP Support is here to help with your technical product questions. For 24/7 community support visit the HP Support Community https://t.co/uDQw3u3XSP,True
hp,LaurenWeberHP,Midwest Correspondent for @KHNews. Former @HuffPost reporter. @Georgetown alum. STL @Cardinals fan. The HP stands for health policy. LaurenW@kff.org,True
hp,HPWizardsUnite,"Harry Potter: Wizards Unite, a mobile game inspired by the Wizarding World. Developed by @NianticLabs & @WBGames, under the @PortkeyGames label",True
hp,HPCareers,"At @hp, you can reinvent what matters most—in your career, across the company, and for people everywhere. Discover what it's like to be part of HP! #ThisIsHP",True
hp,HPSustainable,"@HP’s commitment to create positive, lasting change for people, the planet, and our communities. #HPSustainableImpact #HPSIReport19",True
hp,ArthurDelaneyHP,"@HuffPostPol reporter, @huffpostunion member - arthur@huffpost.com",True
hp,HPGraphicArts,"HP built over 25 years of digital print experience into the industry’s widest product range. We deliver so our customers can, too.",True
hp,OMENbyHP,"Games are vitamins. Take your vitamins, kids.",True
hilton worldwide holdings,HiltonHotels,"Each property uniquely reflects its destination, combining local influences with out-of-this-world service for a truly memorable stay.",True
hilton worldwide holdings,HiltonHonors,"Hilton Honors members get immediate benefits like free standard Wi-Fi, digital check in and more when they book direct. Download our app to get started.",True
hilton worldwide holdings,HiltonNewsroom,An official newsroom account for Hilton – a global hospitality company filling the earth with light & warmth since 1919.,True
home depot,HomeDepot,Helping doers in their home improvement projects. Visit @HDCares for Customer Care support.,True
home depot,HomeDepotCanada,It's a good time to be a doer. #HomeDepotCanada || Home Depot. C'est beau.,True
home depot,HomeDepotCareer,"Learn more about The Home Depot, and why you’ll love your career here, through the official page of The Home Depot careers. Apply today!",True
home depot,HomeDepotGR,Building relationships with elected officials and helping Home Depot associates “make their OrangeVoice heard” by connecting them to the political process.,True
home depot,HomeDepotFound,"Improving the homes and lives of U.S. veterans, filling the skilled labor gap and supporting communities impacted by natural disasters. #TeamDepot 👇",True
home depot,HDCares,"Here to help you get more done. The @HomeDepot's Customer Care Team, responding 8-5 EST, Monday-Friday.",True
hormel foods,HormelFoods,"Official tweets of Hormel Foods Corporation - Inspired People. Inspired Food.™

©Hormel Foods, LLC",True
huntington bancshares,Huntington_Bank,Official Twitter feed for Huntington Bank. Member FDIC. https://t.co/wRyH3jl2s0,True
itt,YouWereNeverMov,Starring Joaquin Phoenix. Directed by Lynne Ramsay. Based on the book by @JonathanAmes. Now streaming on @PrimeVideo.   #BringTheHammer,True
itt,NYCDoITT,"DoITT is the technology core of NYC gov't, working with 100+ agencies & entities to serve and empower NYers through tech. Media Policy: https://t.co/3ohlRVcFR2",True
itt,ITTTech,The ITT Technical Institutes are educators helping people build a foundation for the rest of their lives. Tweets made by the ITT Tech Communications Team.,True
intel,intel,"Intel news, views & events about global tech innovation. Looking for support? Tweet @IntelSupport",True
intel,IEM,Intel® Extreme Masters is the elite global pro gaming tour organized by ESL. The tour has been sponsored by Intel since 2006.,True
intel,IntelGaming,"Official Intel Gaming Handle | News on Products, Events, Contests & Deals",True
intel,WeAreIntel,Our people power Intel. Intel powers the future.,True
intel,intelnews,Breaking news direct from Intel's online Newsroom,True
intel,DefenseIntel,"The Defense Intelligence Agency is first in all-source military intelligence in support of warfighters, defense planners, & policymakers.",True
intel,Inteliot,"Purpose-built for IoT tech, optimized performance at every point, broad connectivity support, and a built-in foundation of security from the edge to the cloud.",True
intel,IntelBusiness,"Conversations, solutions, and thought leadership on how our data-centric solutions are the engine of business.",True
intel,intelcapital,Helping build great companies - through the power of partnership.,True
intel,HouseIntel,Serving the American people through strong and effective oversight of the nation’s intelligence agencies. Chairman: @RepAdamSchiff,True
intel,ODNIgov,The DNI oversees the U.S. Intelligence Community and serves as principal adviser to the President on intelligence issues.,True
intel,NGA_GEOINT,This is the official Twitter account for the National Geospatial-Intelligence Agency.,True
intel,WIPO,"Official account of WIPO, the United Nations agency for intellectual property. We promote innovation and creativity for the benefit of all.",True
intel,DNI_Ratcliffe,Previously led 18 agencies of U.S. intelligence community as Director of National Intelligence. Former Member of Congress. Former U.S. Attorney. Grateful Texan.,True
intel,charlieINTEL,"Call of Duty News | COD 2021 + #BlackOpsColdWar + #Warzone + #CDL2021 News, Leaks, Videos | @Dexerto Network |  🎬 Submit: https://t.co/dWMAa02bK2",True
intel,MsftSecIntel,"We are Microsoft's global network of security experts. Follow for security research, intelligence, and Microsoft Defender news.",True
intel,EU_IPO,European Union Intellectual Property Office. Protecting trade marks and designs in the EU. Hosting the European Observatory on Infringements of IP Rights.,True
johnson & johnson,JNJNews,"At Johnson & Johnson, we blend heart, science and ingenuity to profoundly change the trajectory of health for humanity. Follow us to learn more and connect.",True
johnson & johnson,MagicJohnson,The official Twitter account of Earvin “Magic” Johnson!,True
johnson & johnson,JNJCares,Thanks for visiting! The @JNJCares Twitter page is no longer active. Please stop by @JNJNews to stay up-to-date with the latest news from Johnson & Johnson.,True
johnson & johnson,SenRonJohnson,Proud to serve Wisconsin in U.S. Senate. Chair of Homeland Security and Governmental Affairs Committee & Subcommittee on Europe & Regional Security Cooperation.,True
johnson & johnson,xoBetseyJohnson,Official Twitter for Betsey Johnson. I tweet!,True
johnson & johnson,GovGaryJohnson,"Official Twitter of Governor Gary Johnson, former two-term Governor of New Mexico, and former Presidential nominee of @LPNational.",True
johnson & johnson,ShawnJohnson,wife. mama. dog mama.,True
johnson & johnson,TheRock,CEO Seven Bucks Companies,True
johnson & johnson,JimmieJohnson,2-Time Dad | Husband | Racer,True
johnson & johnson,rianjohnson,Gentleman sleuth,True
johnson & johnson,jackjohnson,"The Only Official Twitter for Jack Johnson. Jack does not post or read this account, but his management does on his behalf. Follow for news updates and pictures",True
johnson & johnson,DJohnsonPGA,PGA TOUR | Official,True
johnson & johnson,MightyMouse,Current ONE Championship athlete. Former 11 time defending MMA Flyweight Champion. Ambassador for @CureRareDisease,True
johnson & johnson,ochocinco,"Famous for grammatical corrections, football, fashion & FIFA. Solving problems with love for EVERYBODY. Ambassador for @ea @nfl I’m cheap as hell too",True
johnson & johnson,BorisJohnson,Prime Minister of the United Kingdom and @Conservatives leader. Member of Parliament for Uxbridge and South Ruislip.,True
johnson & johnson,SCJohnson,"We’re SC Johnson, A Family Company since 1886. Follow along for tweets from our Global Corporate Affairs, Communication & Sustainability team.",True
johnson & johnson,RepHankJohnson,"CBC Secretary, Chairman of the Courts, IP & Internet Subcommittee; Champion for working people",True
johnson & johnson,ChrisJohnson28,"THE REAL CJ
A REAL 2K THANG
IG: CHRISJOHNSONTWO8",True
johnson & johnson,JimmyJohnson,"Former coach and two-time national champion. Two-time Super Bowl winner and an avid fisherman. Pro,College & Broadcasting HOF",True
johnson & johnson,LBJLibrary,"36th #POTUS Lyndon B. Johnson. The LBJ Presidential Library is currently closed to the public due to COVID-19. For now, join us on the new #LBJpodcast. 🙏",True
sears holdings,Sears,"making moments matter™. The big, the little, the in-between. We’re here for yours. #iheartsears",True
kansas city southern,ATFKansasCity,"Official account for ATF's Kansas City Field Division, covering the states of MO, KS, NE, IA and Southern IL https://t.co/PZjyNIcqhj",True
kansas city southern,ETeaparty25,"Player development for Chicago White Sox. Former Georgia Southern Eagle, Kansas City Royal, and Tampa Bay Ray.",True
kellogg,KelloggSchool,Providing business leaders with the research & expertise needed to drive growth. Sign up for our Insight email: https://t.co/Hz3CUaeQa0,True
kellogg,KelloggsUS,,True
kellogg,KelloggCompany,Corporate news from our global HQ in the U.S. Product question? Visit: http://t.co/sKcVDx76xL,True
kellogg,CelesteKellogg,Singer Songwriter. Weather nerd. Beach lover. 🏝💙🌊 Stream my EP #KeepItOnRepeat NOW ➡️  https://t.co/qKYmeniozq 💿🔁🎶,True
